CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-01603058","Weinhardt, LS; Galvao, LW; Yan, AF; Stevens, P; Mwenyekonde, TN; Ngui, E; Emer, L; Grande, KM; Mkandawire-Valhmu, L; Watkins, SC","Mixed-Method Quasi-Experimental Study of Outcomes of a Large-Scale Multilevel Economic and Food Security Intervention on HIV Vulnerability in Rural Malawi","AIDS and behavior","2017","The objective of the Savings, Agriculture, Governance, and Empowerment for Health (SAGE4Health) study was to evaluate the impact of a large‐scale multi‐level economic and food security intervention on health outcomes and HIV vulnerability in rural Malawi. The study employed a quasi‐experimental non‐equivalent control group design to compare intervention participants (n = 598) with people participating in unrelated programs in distinct but similar geographical areas (control, n = 301). We conducted participant interviews at baseline, 18‐, and 36‐months on HIV vulnerability and related health outcomes, food security, and economic vulnerability. Randomly selected households (n = 1002) were interviewed in the intervention and control areas at baseline and 36 months. Compared to the control group, the intervention led to increased HIV testing (OR 1.90; 95 % CI 1.29‐2.78) and HIV case finding (OR = 2.13; 95 % CI 1.07‐4.22); decreased food insecurity (OR = 0.74; 95 % CI 0.63‐0.87), increased nutritional diversity, and improved economic resilience to shocks. Most effects were sustained over a 3‐year period. Further, no significant differences in change were found over the 3‐year study period on surveys of randomly selected households in the intervention and control areas. Although there were general trends toward improvement in the study area, only intervention participants' outcomes were significantly better. Results indicate the intervention can improve economic and food security and HIV vulnerability through increased testing and case finding. Leveraging the resources of economic development NGOs to deliver locally‐developed programs with scientific funding to conduct controlled evaluations has the potential to accelerate the scientific evidence base for the effects of economic development programs on health.","21","3","712‐723","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 27350305","EMBASE 619838145",,,,"Journal article","*Developing Countries; *Models, Economic; *Outcome Assessment, Health Care; *Rural Population; Adolescent; Adult; Aged; Aged, 80 and over; Agriculture [economics]; Economics; Female; Food Supply [*economics]; HIV Infections [*economics, *prevention & control, transmission]; Health Plan Implementation [economics, organization & administration]; Health Risk Behaviors; Humans; Malawi; Male; Middle Aged; Non‐Randomized Controlled Trials as Topic; Risk Assessment; Young Adult","10.1007/s10461-016-1455-1","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01603058/full","Public Health"
"CN-01944505","Verbowski, V; Talukder, Z; Hou, K; Sok Hoing, L; Michaux, K; Anderson, V; Gibson, R; Li, KH; Lynd, LD; McLean, J; Green, TJ; Barr, SI","Effect of enhanced homestead food production and aquaculture on dietary intakes of women and children in rural Cambodia: a cluster randomized controlled trial","Maternal & child nutrition","2018","The Cambodian diet is low in nutrient‐dense animal‐source foods. Enhanced homestead food production (EHFP) and aquaculture, which increase availability of nutrient‐dense foods, are promising interventions to improve dietary intake. This study examined the effect of EHFP with or without aquaculture on dietary intake and prevalence of inadequate intake of select nutrients among women and children living in rural Cambodia, compared to controls. In a registered, cluster randomized controlled trial in Prey Veng, Cambodia, 10 households in each of 90 villages (n = 900) were randomized by village to receive EHFP, EHFP plus aquaculture, or control. After 22‐month intervention, 24‐hr dietary recalls (24HRs) were collected from mothers aged 18‐50 years (n = 429) and their children aged 6 months‐7 years (n = 421), reported by their mothers. Usual intake distributions (generated using 24HRs and repeat 24HRs on a subsample) were used to estimate prevalence of inadequate intake. Compared to controls, women in the EHFP group had significantly higher zinc (+1.0 mg/d) and Vitamin A (+139 retinol activity equivalents/d) intakes, and women in the EHFP plus aquaculture group had significantly higher iron (+2.7 mg/d), Vitamin A (+191 retinol activity equivalents/d), and riboflavin (+0.17 mg/d) intakes. Women in the EHFP plus aquaculture group also had significantly lower prevalence of inadequate iron (‐7%, at 10% bioavailability), Vitamin A (‐19%), and riboflavin (‐17%) intakes, compared to controls. No significant differences in intakes or nutrient adequacy were observed among children or between EHFP and EHFP plus aquaculture groups. The biological importance of the small differences in nutrient intakes among women remains to be established.","14","3","e12581","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 29314705",,,,,"Journal article","Adolescent; Adult; Aquaculture; Body Mass Index; Cambodia [epidemiology]; Child; Child, Preschool; Cluster Analysis; Diet; Family Characteristics; Female; Humans; Infant; Male; Malnutrition [*epidemiology]; Micronutrients [administration & dosage, deficiency]; Middle Aged; Nutrition Assessment; Nutritional Requirements; Riboflavin Deficiency [*epidemiology]; Riboflavin [administration & dosage]; Rural Population; Surveys and Questionnaires; Vitamin A Deficiency [*epidemiology]; Vitamin A [administration & dosage]; Young Adult; Zinc [administration & dosage]","10.1111/mcn.12581","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01944505/full","Public Health"
"CN-01956647","Michaux, KD; Hou, K; Karakochuk, CD; Whitfield, KC; Ly, S; Verbowski, V; Stormer, A; Porter, K; Li, KH; Houghton, LA; Lynd, LD; Talukder, A; McLean, J; Green, TJ","Effect of enhanced homestead food production on anaemia among Cambodian women and children: a cluster randomized controlled trial","Maternal & child nutrition","2019","There is inconsistent evidence on the efficacy of agriculture programmes at improving women and children's anaemia and nutritional status. The primary aim of this study was to evaluate the impact of a nutrition‐sensitive enhanced homestead food production (EHFP) programme on anaemia in women (18–45 years) and children (6–59 months) in rural Cambodia. Secondary outcomes were women's micronutrient status and women and children's anthropometry. In this cluster‐randomized controlled trial, 900 households from 90 villages (clusters) were randomized to either (a) home gardens and behaviour change communication (BCC) on nutrition, hygiene, women's empowerment, and marketing (EHFP); (b) home gardens plus fishponds and BCC (EHFP + F); or (c) control (no intervention). Haemoglobin concentration and anthropometry were measured in women and children at baseline and at 22 months. Venous blood samples were collected in a subset of women (n = 450) at baseline and at 22 months. Generalized linear mixed effect models with repeated measures were used to evaluate the difference across groups and the change from baseline to end of study. Ninety clusters, 552 women, and 754 children completed the trial. Compared with control, we found a statistically significant impact on anaemia prevalence in children (−14.0 percentage points; P = 0.02) and retinol binding protein concentrations in women (difference in difference: 0.34; P = 0.02) randomized to EHFP and EHFP + F groups, respectively. No other statistically significant effects on anaemia, nutritional biomarker concentrations, or anthropometry were observed. Future research is needed to examine longer term impacts of EHFP on anthropometry in women and children and into the nutritional causes of anaemia among children in Cambodia.","15 Suppl 3","Suppl 3","e12757","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 31148398","EMBASE 627942117","","","","Journal article","*anemia; *enhanced homestead food production; *food industry; Adolescent; Adult; Age distribution; Anemia [*diet therapy, *prevention & control]; Anthropometry; Aquaculture; Article; Behavior change; Blood sampling; Cambodia [epidemiology]; Cambodian; Child; Child, Preschool; Cluster Analysis; Controlled study; Crops, Agricultural; Diet [*classification]; Female; Follow up; Gardening; Health Behavior; Human; Humans; Hygiene [education]; Infant; Infant Nutritional Physiological Phenomena; Major clinical study; Male; Maternal Nutritional Physiological Phenomena; Micronutrients [*administration & dosage, deficiency]; Middle Aged; Nutritional Status; Nutritional status; Outcome assessment; Prevalence; Priority journal; Randomized controlled trial; Rural Population; Rural area; Young Adult","10.1111/mcn.12757","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01956647/full","Public Health"
"CN-01170425","Tonguet-Papucci, A; Huybregts, L; Ait Aissa, M; Huneau, JF; Kolsteren, P","The MAM'Out project: a randomized controlled trial to assess multiannual and seasonal cash transfers for the prevention of acute malnutrition in children under 36 months in Burkina Faso","BMC public health","2015","BACKGROUND: Wasting is a public health issue but evidence gaps remain concerning preventive strategies not primarily based on food products. Cash transfers, as part of safety net approach, have potential to prevent under‐nutrition. However, most of the cash transfer programs implemented and scientifically evaluated do not have a clear nutritional objective, which leads to a lack of evidence regarding their nutritional benefits. METHODS/DESIGN: The MAM'Out research project aims at evaluating a seasonal and multiannual cash transfer program to prevent acute malnutrition in children under 36 months, in terms of effectiveness and cost‐effectiveness in the Tapoa province (Eastern region of Burkina Faso, Africa). The program is targeted to economically vulnerable households with children less than 1 year old at the time of inclusion. Cash is distributed to mothers and the transfers are unconditional, leading to beneficiaries' self‐determination on the use of cash. The study is designed as a two‐arm cluster randomized intervention trial, based on the randomization of rural villages. One group receives cash transfers via mobile phones and one is a control group. The main outcomes are the cumulative incidence of acute malnutrition and the cost‐effectiveness. Child anthropometry (height, weight and MUAC) is followed, as well as indicators related to dietary diversity, food security, health center utilization, families' expenses, women empowerment and morbidities. 24 h‐food recalls are also carried out. Individual interviews and focus group discussions allow collecting qualitative data. Finally, based on a theory framework built a priori, the pathways used by the cash to have an effect on the prevention of under‐nutrition will be assessed. DISCUSSION: The design chosen will lead to a robust assessment of the effectiveness of the proposed intervention. Several challenges appeared while implementing the study and discrepancies with the research protocol, mainly due to unforeseen events, can be highlighted, such as delay in project implementation, switch to e‐data collection and implementation of a supervision process. TRIAL REGISTRATION: ClinicalTrials.gov, identifier: NCT01866124, registered May 7, 2013.","15",,"762","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26253152",,"","","","Journal article","Body Weights and Measures; Burkina Faso; Child Nutrition Disorders [*prevention & control]; Child, Preschool; Diet; Family Characteristics; Food Supply; Health Services [statistics & numerical data]; Humans; Infant; Mothers; Nutritional Status; Public Assistance [*organization & administration]; Rural Population; Seasons","10.1186/s12889-015-2060-3","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01170425/full","Public Health"
"CN-01424340","Tonguet-Papucci, A; Houngbe, F; Lompo, P; Yameogo, WME; Huneau, JF; Ait Aissa, M; Kolsteren, P","Beneficiaries' perceptions and reported use of unconditional cash transfers intended to prevent acute malnutrition in children in poor rural communities in Burkina Faso: qualitative results from the MAM'Out randomized controlled trial","BMC public health","2017","BACKGROUND: Acute malnutrition is a public health issue worldwide, and particularly in the Eastern region of Burkina Faso. Following a needs assessment, unconditional seasonal, multiannual cash transfers were implemented as a safety net to prevent childhood undernutrition. The objectives of this study were to explore the types of purchases made by beneficiaries of this cash transfer program and to understand the perceived effects of and changes induced by regular cash transfers in the daily lives of women, and at the household and community level. METHODS: The design of this study was a two‐arm cluster randomized controlled trial. Qualitative data were collected each month during the cash transfer period for two years, leading to a total of more than 300 interviews and focus group discussions with various participants: beneficiary mothers, heads of households, mothers‐in‐law, co‐wives, key members of the community, and participants of the control group. RESULTS: The two main types of expenses reported were food and health care for the child and the whole family. The program was also associated with positive perceived changes at the household level, mainly related to gender equality and improvement of women's status, and has promoted an increase in dignity and social integration of the poorest at the community level through cash sharing. Unexpected effects of this program included some women planning new pregnancies and some individuals not expecting the transfers to end. CONCLUSION: Although the transfers were unconditional, the cash was mainly used to improve the children's and households' food security and health, which correspond to two main underlying causes of undernutrition. Therefore, spending mainly in these areas can help to prevent undernutrition in children. TRIAL REGISTRATION: ClinicalTrials.gov , identifier: NCT01866124 , registered May 7, 2013.","17","1","527","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 28558709",,"","","","Journal article","Adult; Burkina Faso; Child; Child Nutrition Disorders [*prevention & control]; Child, Preschool; Female; Food Assistance [*statistics & numerical data]; Food Supply; Humans; Interviews as Topic; Mothers [*psychology]; Perception; Poverty [*statistics & numerical data]; Rural Population [*statistics & numerical data]; Young Adult","10.1186/s12889-017-4453-y","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01424340/full","Public Health"
"CN-01394438","Tonguet-Papucci, A; Houngbe, F; Huybregts, L; Ait-Aissa, M; Altare, C; Kolsteren, P; Huneau, JF","Unconditional Seasonal Cash Transfer Increases Intake of High-Nutritional-Value Foods in Young Burkinabe Children: results of 24-Hour Dietary Recall Surveys within the Moderate Acute Malnutrition Out (MAM'Out) Randomized Controlled Trial","Journal of nutrition","2017","Background: Cash transfer programs have the potential to improve dietary intake by improving accessibility to food. However, quantitative data on the impact of cash transfer programs on children's energy and nutrient intakes are lacking.Objective: The aim of this study was to evaluate the effect of seasonal unconditional cash transfers on children's energy, micro‐ and macronutrient, and food group intakes during the lean season in Burkina Faso.Methods: Within the framework of the MAM'Out (Moderate Acute Malnutrition Out) cluster‐randomized controlled trial, two 24‐h dietary recall surveys were conducted in July and August 2014. Daily energy and macro‐ and micronutrient intakes, breastfeeding practices, and food group consumption were analyzed for 322 children aged 14‐27 mo from an intervention group (benefiting from unconditional cash transfer during the lean season in 2013 and 2014) and a control group by using mixed linear, logistic, and Poisson regression models or a γ‐generalized linear model with log‐link. A dietary diversity score was calculated on the basis of 7 food groups.Results: Unconditional cash transfers during the lean season improved the diets of rural children through a higher consumption of eggs (11.3 ± 1.55 compared with 3.25 ± 0.79 g; P < 0.001), fat (20.6 ± 0.80 compared with 16.5 ± 0.89 g; P < 0.01), and vitamin B‐12 (0.40 ± 0.02 compared with 0.34 ± 0.02 mg; P < 0.001) compared with controls and higher proportions of children consuming dairy products (OR: 4.14; 95% CI: 1.48, 11.6; P < 0.05), flesh foods (OR: 2.09; 95% CI: 1.18, 3.70; P < 0.05), and iron‐rich or iron‐fortified foods (OR: 2.23; 95% CI: 1.20, 4.13; P < 0.05). No difference was found in energy intake between the 2 groups. The minimum dietary diversity of two‐thirds of the children who benefited from cash transfers was adequate compared with only one‐third in the control group (P < 0.001).Conclusions: Unconditional seasonal cash transfer increases intakes of high‐nutritional‐value foods in Burkinabe children aged 14‐27 mo. As such, their use can be recommended in actions addressing children's dietary intake during the lean season. This trial was registered at clinicaltrials.gov as NCT01866124.","147","7","1418‐1425","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 28566529","EMBASE 617231266","","","","Journal article","*food intake; *health program; *malnutrition; *nutritional value; Article; Burkina Faso [epidemiology]; Burkinabe; Caloric intake; Child; Controlled study; Cyanocobalamin; Dairy product; Diet Records; Egg; Family Characteristics; Female; Food Supply; Food [economics]; Fortified food; Gift Giving; Health survey; Human; Humans; Infant; Infant Nutrition Disorders [*economics, *epidemiology]; Macronutrient; Major clinical study; Male; Money; Nutritional Status; Outcome assessment; Poverty; Preschool child; Randomized controlled trial; Rural Population; Rural population; Season; Seasons; Trace element","10.3945/jn.116.244517","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01394438/full","Public Health"
"CN-01400921","Houngbe, F; Tonguet-Papucci, A; Altare, C; Ait-Aissa, M; Huneau, JF; Huybregts, L; Kolsteren, P","Unconditional Cash Transfers Do Not Prevent Children's Undernutrition in the Moderate Acute Malnutrition Out (MAM'Out) Cluster-Randomized Controlled Trial in Rural Burkina Faso","Journal of nutrition","2017","Background: Limited evidence is available on the impact that unconditional cash transfer (UCT) programs can have on child nutrition, particularly in West Africa, where child undernutrition is still a public health challenge.Objective: This study examined the impact of a multiannual, seasonal UCT program to reduce the occurrence of wasting (weight‐for‐height, midupper arm circumference), stunting (height‐for‐age), and morbidity among children <36 mo old in Tapoa Province, in the eastern region of Burkina Faso.Methods: The study was designed as a 2‐arm cluster‐randomized controlled trial, with 32 villages randomly assigned to either the intervention or the control group. The study population comprised households that were classified as poor or very poor according to household economy approach criteria and that had ≥1 child <1 y of age at inclusion. The intervention consisted of seasonal UCTs, provided monthly from July to November, over 2 y (2013 and 2014). A monthly allowance of 10,000 West African Financial Community of Africa francs (∼US$17) was given by mobile phone to mothers in participating households. Anthropometric measurements and morbidity were recorded on a quarterly basis.Results: We found no evidence that multiannual, seasonal UCTs reduced the cumulative incidence of wasting in young children [incidence rate ratio: 0.92 (95% CI: 0.64, 1.32); P = 0.66]. We observed no significant difference (P > 0.05) in children's anthropometric measurements and stunting between the 2 groups at the end point. However, children in the intervention group had a lower risk [21% (95% CI: 18.6%, 21.3%); P < 0.001] of self‐reported respiratory tract infections than did children in the control group.Conclusions: We found that seasonal UCTs in the framework of safety nets did not result in a significant decrease in the incidence of acute malnutrition among children in Tapoa Province. Cash transfers combined with complementary interventions targeted to child nutrition and health should be investigated further. This trial was registered at clinicaltrials.gov as NCT01866124.","147","7","1410‐1417","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 28539413",,"","","","Journal article","Burkina Faso [epidemiology]; Family Characteristics; Food Supply; Food [*economics]; Humans; Infant; Infant Nutrition Disorders [*economics, *epidemiology]; Nutritional Status; Poverty; Rural Population; Seasons","10.3945/jn.117.247858","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01400921/full","Neonatal"
"CN-02218172","Skoufias, E; Unar, M; de Cossio, TG","The poverty impacts of cash and in-kind transfers: experimental evidence from rural Mexico","Journal of development effectiveness","2013",,"5","4","401‐429","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,"10.1080/19439342.2013.843578","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02218172/full","Public Health"
"CN-00776622","Skoufias, E; Unar, M; González-Cossío, T","The Impacts of Cash and In-Kind Transfers on Consumption and Labor Supply: experimental Evidence from Rural Mexico","The world bank","2008","The authors use the unique experimental design of the Food Support Program (Programa Apoyo Alimentario) to analyze in‐kind and cash transfers in the poor rural areas of southern states of Mexico. They compare the impacts of monthly in‐kind and cash transfers of equivalent value (mean share 11.5 percent of pre‐program consumption) on household welfare as measured by food and total consumption, adult labor supply, and poverty. The results show that approximately two years later the transfer has a large and positive impact on total and food consumption. There are no differences in the size of the effect of transfer in cash versus transfers in‐kind on consumption. The transfer, irrespective of type, does not affect overall participation in labor market activities but induces beneficiary households to switch their labor allocation from agricultural to nonagricultural activities. The analysis finds that the program leads to a significant reduction in poverty. Overall, the findings suggest that the Food Support Program intervention is able to relax the binding liquidity constraints faced by poor agricultural households, and thus increases both equity and efficiency",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00776622/full","Public Health"
"CN-01137248","Ramírez-Luzuriaga, MJ; Unar-Munguía, M; Rodríguez-Ramírez, S; Rivera, JA; González de Cosío, T","A Food Transfer Program without a Formal Education Component Modifies Complementary Feeding Practices in Poor Rural Mexican Communities","Journal of nutrition","2016","Background: Inadequate complementary feeding partially explains micronutrient deficiencies in the first 2 y of life. To prevent malnutrition, theMexican government implemented the Programa de Apoyo Alimentario (PAL), which transferred either food baskets containing micronutrient‐fortified milk and animal food products or cash to beneficiary families along with educational sessions. Objective: This study evaluated the impact of PAL on 2 indicators of complementary feeding: minimum dietary diversity and consumption of iron‐rich or iron‐fortified foods in children aged 6‐23 mo. Methods: A secondary analysis of the original PAL evaluation design was conducted through a randomized community trial implemented with 3 intervention groups (food basket with education, food basket without education, and cash transfer with education) and a control. The impact of PAL after 14 mo of exposure was estimated in 2 cross‐sectional groups of children aged 6‐23 mo at baseline and at follow‐up in a panel of 145 communities by using difference‐in‐difference models. Only children who lived in households and communities that were similar between treatment groups at baseline were included in the analysis. These children were identified by using a propensity score. Results: Of the 3 intervention groups, when compared with the control, only the food basket without education group component increased the consumption of iron‐rich or iron‐fortified foods by 31.2 percentage points (PP) (P < 0.01) and the prevalence of minimum dietary diversity by 21.6 PP (P < 0.01). Conclusion: These findings suggest that in order to improve dietary quality in children, food baskets that include fortified complementary foods may be more effective than cash transfers. The fact that the 2 food basket groups differed in the observed impact does not allow for more convincing conclusions to be made about the education component of the program. This trial was registered at clinicaltrials.gov as NCT01304888.","146","1","107‐113","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26561408","EMBASE 608796252","","","","Journal article","*complementary feeding; *health education; Adolescent; Article; Child; Controlled study; Cross sectional study; Cross‐Sectional Studies; Diet; Family Characteristics; Feeding behavior; Female; Follow up; Follow‐Up Studies; Food Assistance; Food, Fortified; Household; Human; Humans; Infant; Infant Nutritional Physiological Phenomena; Iron; Iron intake; Iron, Dietary [*administration & dosage]; Male; Mexican; Mexico; Nutritional Status; Poverty; Prevalence; Randomized controlled trial; Rural Population; Rural area","10.3945/jn.115.215962","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01137248/full","Public Health"
