CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-00561835","van Uffelen, JG; Hopman-Rock, M; Chin, A Paw MJ; van Mechelen, W","Protocol for Project FACT: a randomised controlled trial on the effect of a walking program and vitamin B supplementation on the rate of cognitive decline and psychosocial wellbeing in older adults with mild cognitive impairment","BMC geriatrics","2005","BACKGROUND: The prevalence of individuals with cognitive decline is increasing since the number of elderly adults is growing considerably. The literature provides promising results on the beneficial effect of exercise and vitamin supplementation on cognitive function both in cognitively healthy as well as in the demented elderly. METHODS/DESIGN: The design is a two‐by‐two factorial randomised controlled trial. The study population consists of independently living elderly, between 70 and 80 years old, with mild cognitive impairment (MCI). In the RCT the effect of two interventions, a walking program and vitamin supplementation, is examined. The walking program (WP) is a group‐based program aimed at improving cardiovascular endurance; frequency two lessons a week; lesson duration one hour; program duration one year. Non‐walking groups receive a placebo activity program (PAP) (i.e. low intensive non‐aerobic group exercises, like stretching) with the same frequency, lesson and program duration. Vitamin supplementation consists of a single daily vitamin supplement containing 50 mg B6, 5 mg folic acid and 0,4 mg B12 for one year. Subjects not receiving vitamin supplements are daily taking an identically looking placebo pill, also for a year. Participants are randomised to four groups 1) WP and vitamin supplements; 2) WP and placebo supplements; 3) PAP and vitamin supplements; 4) PAP and placebo supplements. Primary outcome measures are measures of cognitive function. Secondary outcomes include psychosocial wellbeing, physical activity, cardiovascular endurance and blood vitamin levels. DISCUSSION: No large intervention study has been conducted yet on the effect of physical activity and vitamin supplementation in a population‐based sample of adults with MCI. The objective of the present article is to describe the design of a randomised controlled trial examining the effect of a walking program and vitamin B supplementation on the rate of cognitive decline in older adults with MCI.","5",,"18","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16375760",,"","","","Journal article","Aged; Aged, 80 and over; Clinical Protocols; Cognition Disorders [*psychology, *therapy]; Combined Modality Therapy; Double‐Blind Method; Exercise Therapy; Humans; Randomized Controlled Trials as Topic; Severity of Illness Index; Vitamin B Complex [*therapeutic use]; Walking","10.1186/1471-2318-5-18","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00561835/full","Complementary Medicine; Dementia and Cognitive Improvement"
"CN-00638076","van Uffelen, JG; Chinapaw, MJ; van Mechelen, W; Hopman-Rock, M","Walking or vitamin B for cognition in older adults with mild cognitive impairment? A randomised controlled trial","British journal of sports medicine","2008","OBJECTIVE: To examine the effects of aerobic exercise or vitamin B supplementation on cognitive function in older adults with mild cognitive impairment (MCI). DESIGN: Randomised placebo‐controlled trial. SETTING: General community. PARTICIPANTS: Community‐dwelling adults aged 70‐80 with MCI. Interventions : The 152 participants were randomly assigned to two INTERVENTIONS: (1) a twice‐weekly, group‐based, moderate‐intensity walking programme (WP, n = 77) or a low‐intensity placebo activity programme (n = 75) for one year; and (2) daily vitamin pill containing 5 mg folic acid, 0.4 mg vitamin B‐12, 50 mg vitamin B‐6 (FA/B12/B6, n = 78) or placebo pill (n = 74) for one year. OUTCOME MEASURES: Cognitive function, measured with neuropsychological tests at baseline and after six and 12 months. RESULTS: Median session attendance at the exercise programmes (25th‐75th percentile) was 63% (2%‐81%) and median compliance with taking pills (25th‐75th percentile) was 100% (99%‐100%). Gender was an effect modifier. Intention‐to‐treat analysis revealed no main intervention effect for either intervention. In women in the WP, attention (Stroop combination task) improved by 0.3 seconds (p = 0.04) and memory (auditory verbal learning test) by 0.04 words (p = 0.06) with each percentage increase in session attendance. In men attending at least 75% of the sessions, the WP improved memory (beta 1.5 (95% CI: 0.1 to 3.0) words). CONCLUSION: The walking programme and/or FA/B12/B6 supplementation were not effective in improving cognition within one year. The walking programme, however, was efficacious in improving memory in men and memory and attention in women with better adherence. TRIAL REGISTRATION: International Standard Randomised Controlled Trial Number Register, 19227688, http://www.controlled‐trials.com/isrctn/","42","5","344‐351","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 18308888",,"","","","Journal article","Aged; Aged, 80 and over; Cognition Disorders [physiopathology, *therapy]; Double‐Blind Method; Exercise Therapy [*methods]; Female; Folic Acid [*therapeutic use]; Humans; Male; Memory [drug effects]; Netherlands; Neuropsychological Tests; Patient Compliance; Treatment Outcome; Vitamin B 12 [*therapeutic use]; Vitamin B 6 [*therapeutic use]; Walking [*physiology]","10.1136/bjsm.2007.044735","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00638076/full","SR-BEHAVMED; Dementia and Cognitive Improvement"
"CN-00610545","van Uffelen, JG; Chin, A Paw MJ; Hopman-Rock, M; van Mechelen, W","The effect of walking and vitamin B supplementation on quality of life in community-dwelling adults with mild cognitive impairment: a randomized, controlled trial","Quality of life research","2007","OBJECTIVES: To examine the effect of walking and vitamin B supplementation on quality‐of‐life (QoL) in community‐dwelling adults with mild cognitive impairment. METHODS: One year, double‐blind, placebo‐controlled trial. Participants were randomized to: (1) twice‐weekly, group‐based, moderate‐intensity walking program (n = 77) or a light‐intensity placebo activity program (n = 75); and (2) daily vitamin B pills containing 5 mg folic acid, 0.4 mg B12, 50 mg B6 (n = 78) or placebo pills (n = 74). QoL was measured at baseline, after six and 12 months using the population‐specific Dementia Quality‐of‐Life (D‐QoL) to assess overall QoL and the generic Short‐Form 12 mental and physical component scales (SF12‐MCS and SF12‐PCS) to assess health‐related QoL. RESULTS: Baseline levels of QoL were relatively high. Modified intention‐to‐treat analyses revealed no positive main intervention effect of walking or vitamin supplementation. In both men and women, ratings of D‐QoL‐belonging and D‐QoL‐positive affect subscales improved with 0.003 (P = 0.04) and 0.002 points (P = 0.06) with each percent increase in attendance to the walking program. Only in men, SF12‐MCS increased with 0.03 points with each percent increase in attendance (P = 0.08). CONCLUSION: Several small but significant improvements in QoL were observed with increasing attendance to the walking program. No effect of vitamin B supplementation was observed. TRIAL REGISTRATION: International Standard Randomized Controlled Trial Number Register, 19227688, http://www.controlled‐trials.com/isrctn/.","16","7","1137‐1146","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17616840",,"","","","Journal article","Aged; Aged, 80 and over; Cognition; Cognition Disorders [*drug therapy, therapy]; Community Health Services; Dementia [drug therapy, therapy]; Dietary Supplements; Female; Health Surveys; Humans; Interviews as Topic; Male; Neuropsychological Tests; Nutritional Status; Program Evaluation; Psychometrics; Quality of Life; Residence Characteristics; Surveys and Questionnaires; Treatment Outcome; Vitamin B Complex [*therapeutic use]; Walking","10.1007/s11136-007-9219-z","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00610545/full","Complementary Medicine; Dementia and Cognitive Improvement"
"CN-00378273",,"The VITATOPS (Vitamins to Prevent Stroke) Trial: rationale and design of an international, large, simple, randomised trial of homocysteine-lowering multivitamin therapy in patients with recent transient ischaemic attack or stroke","Cerebrovascular diseases (Basel, Switzerland)","2002","BACKGROUND: Epidemiological studies suggest that raised plasma concentrations of total homocysteine (tHcy) may be a common, causal and treatable risk factor for atherothromboembolic ischaemic stroke. Although tHcy can be lowered effectively with small doses of folic acid, vitamin B(12) and vitamin B(6), it is not known whether lowering tHcy, by means of multivitamin therapy, can prevent stroke and other major atherothromboembolic vascular events. PURPOSE: To determine whether vitamin supplements (folic acid 2 mg, B(6) 25 mg, B(12) 500 mug) reduce the risk of stroke, and other serious vascular events, in patients with recent stroke or transient ischaemic attacks of the brain or eye (TIA). METHODS: An international, multi‐centre, randomised, double‐blind, placebo‐controlled clinical trial. RESULTS: As of November 2001, more than 1,400 patients have been randomised from 10 countries in four continents. CONCLUSION: VITATOPS aims to recruit and follow up 8,000 patients between 2000 and 2004, and provide a reliable estimate of the safety and effectiveness of dietary supplementation with folic acid, vitamin B(12), and vitamin B(6) in reducing recurrent serious vascular events among a wide range of patients with TIA and stroke.","13","2","120‐126","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 11867886","EMBASE 34195682",,,,"Journal article","*cyanocobalamin/ct [Clinical Trial]; *cyanocobalamin/dt [Drug Therapy]; *folic acid/ct [Clinical Trial]; *folic acid/dt [Drug Therapy]; *homocysteine/ec [Endogenous Compound]; *multivitamin/ct [Clinical Trial]; *multivitamin/dt [Drug Therapy]; *pyridoxine/ct [Clinical Trial]; *pyridoxine/dt [Drug Therapy]; *stroke/dt [Drug Therapy]; *stroke/pc [Prevention]; *transient ischemic attack/dt [Drug Therapy]; *transient ischemic attack/pc [Prevention]; *vitamin supplementation; Amino acid blood level; Article; Biomarkers [blood]; Brain [blood supply]; Clinical trial; Controlled clinical trial; Controlled study; Diet supplementation; Disease Progression; Double blind procedure; Double‐Blind Method; Drug efficacy; Drug safety; Eye disease; Follow‐Up Studies; Homocysteine [blood, drug effects]; Human; Humans; Ischemic Attack, Transient [blood, drug therapy, epidemiology]; Magnetic Resonance Imaging; Major clinical study; Multicenter study; Priority journal; Randomized controlled trial; Recurrent disease; Risk Factors; Risk factor; Stroke [blood, *drug therapy, *prevention & control]; Time Factors; Treatment Outcome; Treatment outcome; Vitamins [*therapeutic use]","10.1159/000047761","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00378273/full","Complementary Medicine; Kidney and Transplant; Heart"
"CN-01914163","Ting, SKS; Earnest, A; Li, H; Hameed, S; Chang, HM; Chen, CLH; Tan, EK","B vitamins and cognition in subjects with small vessel disease: a Substudy of VITATOPS, a randomized, placebo-controlled trial","Journal of the neurological sciences","2017",,"379",,"124‐126","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 28716224",,,,,"Journal article","Aged; Cognitive Dysfunction [complications, drug therapy, *prevention & control]; Double‐Blind Method; Female; Folic Acid [*therapeutic use]; Homocystine [blood]; Humans; Male; Middle Aged; Neuropsychological Tests [*statistics & numerical data]; Stroke [blood, complications, drug therapy, *prevention & control]; Vitamin B 12 [*therapeutic use]; Vitamin B 6 [*therapeutic use]; Vitamin B Complex [therapeutic use]","10.1016/j.jns.2017.05.061","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01914163/full","Dementia and Cognitive Improvement"
"CN-02016129","NCT00097669,","VITATOPS: a Study of VITAmins TO Prevent Stroke","https://clinicaltrials.gov/show/NCT00097669","2004","Background: Epidemiological studies suggest that raised plasma concentrations of total homocysteine (tHcy) may be a common, causal and treatable risk factor for atherothromboembolic ischemic stroke, dementia and depression. Although tHcy can be lowered effectively with small doses of folic acid, vitamin B12 and vitamin B6, it is not known whether lowering tHcy, by means of multivitamin therapy, can prevent stroke and other major atherothromboembolic vascular events, dementia and depression. Purpose: To determine whether vitamin supplements (folic acid 2 mg, B6 25 mg, B12 500 ug) reduce the risk of stroke, other serious vascular events, dementia and depression in patients with recent stroke or transient ischemic attacks of the brain or eye (TIA). Methods: An international, multi‐center, randomized, double‐blind, placebo‐controlled clinical trial. Subjects: Patients with stroke or TIA in the previous 7 months. Primary outcome measure: Non‐fatal stroke, non‐fatal myocardial infarction, or death due to vascular causes. Secondary outcome measures: TIA, Revascularisation procedures, Dementia, Depression. Sample size calculation: To reliably identify a 15% reduction in relative risk of the primary outcome event from 8% to 6.8% per year with an alpha of 0.05 and power of 80%, 8,000 patients need to be randomized and followed‐up for an average of two years. Current progress: As of November, 2004, more than 4,400 patients have been randomized in 73 centers in 19 countries in five continents: Australia, Austria, Belgium, Brazil, Hong Kong, Italy, Malaysia, Moldova, Netherlands, New Zealand, Pakistan, Philippines, Portugal, Republic of Georgia, Serbia & Monte Negro, Singapore, Sri Lanka, United Kingdom, and United States. VITATOPS aims to recruit and follow up 8,000 patients between 2000 and 2006, and provide a reliable estimate of the safety and effectiveness of dietary supplementation with folic acid, vitamin B12, and vitamin B6 in reducing recurrent serious vascular events, dementia and depression among a wide range of patients with stroke and TIA.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT00097669","","","Trial registry record","Folic Acid; Ischemic Attack, Transient; Stroke",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02016129/full",
"CN-00515264","Petersen, RC; Thomas, RG; Grundman, M; Bennett, D; Doody, R; Ferris, S; Galasko, D; Jin, S; Kaye, J; Levey, A; Pfeiffer, E; Sano, M; van Dyck, CH; Thal, LJ","Vitamin E and donepezil for the treatment of mild cognitive impairment","New England journal of medicine","2005","BACKGROUND: Mild cognitive impairment is a transitional state between the cognitive changes of normal aging and early Alzheimer's disease. METHODS: In a double‐blind study, we evaluated subjects with the amnestic subtype of mild cognitive impairment. Subjects were randomly assigned to receive 2000 IU of vitamin E daily, 10 mg of donepezil daily, or placebo for three years. The primary outcome was clinically possible or probable Alzheimer's disease; secondary outcomes were cognition and function. RESULTS: A total of 769 subjects were enrolled, and possible or probable Alzheimer's disease developed in 212. The overall rate of progression from mild cognitive impairment to Alzheimer's disease was 16 percent per year. As compared with the placebo group, there were no significant differences in the probability of progression to Alzheimer's disease in the vitamin E group (hazard ratio, 1.02; 95 percent confidence interval, 0.74 to 1.41; P=0.91) or the donepezil group (hazard ratio, 0.80; 95 percent confidence interval, 0.57 to 1.13; P=0.42) during the three years of treatment. Prespecified analyses of the treatment effects at 6‐month intervals showed that as compared with the placebo group, the donepezil group had a reduced likelihood of progression to Alzheimer's disease during the first 12 months of the study (P=0.04), a finding supported by the secondary outcome measures. Among carriers of one or more apolipoprotein E epsilon4 alleles, the benefit of donepezil was evident throughout the three‐year follow‐up. There were no significant differences in the rate of progression to Alzheimer's disease between the vitamin E and placebo groups at any point, either among all patients or among apolipoprotein E epsilon4 carriers. CONCLUSIONS: Vitamin E had no benefit in patients with mild cognitive impairment. Although donepezil therapy was associated with a lower rate of progression to Alzheimer's disease during the first 12 months of treatment, the rate of progression to Alzheimer's disease after three years was not lower among patients treated with donepezil than among those given placebo.","352","23","2379‐2388","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 15829527","EMBASE 40958434",,,,"Journal article","Alzheimer Disease [genetics, *prevention & control]; Apolipoprotein E4; Apolipoproteins E [genetics]; Cholinesterase Inhibitors [adverse effects, *therapeutic use]; Cognition Disorders [*drug therapy]; Disease Progression; Donepezil; Double‐Blind Method; Humans; Indans [adverse effects, *therapeutic use]; Nootropic Agents [adverse effects, therapeutic use]; Piperidines [adverse effects, *therapeutic use]; Proportional Hazards Models; Treatment Failure; Vitamin E [adverse effects, *therapeutic use]","10.1056/NEJMoa050151","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00515264/full","Dementia and Cognitive Improvement"
"CN-00496987","Petersen, R; Grundman, M; Thomas, R; Thal, L","Donepezil and Vitamin E as Treatments for Mild Cognitive Impairment","Neurobiology of aging","2004",,"25","S2","20","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00496987/full","Dementia and Cognitive Improvement"
"CN-00586802","Fleisher, AS; Sowell, BB; Taylor, C; Gamst, AC; Petersen, RC; Thal, LJ","Clinical predictors of progression to Alzheimer disease in amnestic mild cognitive impairment","Neurology","2007","OBJECTIVE: To investigate the neurocognitive measures that best predict progression from amnestic mild cognitive impairment (aMCI) to Alzheimer disease (AD). METHODS: We evaluated 539 participants with aMCI from the Alzheimer's Disease Cooperative Study clinical drug trial of donepezil, vitamin E, or placebo. During the study period of 36 months, 212 aMCI participants progressed to AD. Using progression from aMCI to AD within 36 months as the dependent variable, a generalized linear model was fit to the data using the least absolute shrinkage and selection operator. Independent variables included in this analysis were age, sex, education, APOE‐e4 (APOE4) status, family history of dementia, Mini‐Mental State Examination score, Digits Backwards (Wechsler Memory Scale), Maze Time and Errors, Number Cancellation, Delayed Recall of Alzheimer's Disease Assessment Scale Word List, New York University Paragraph Recall Test (Immediate and Delayed), Boston Naming Test, Category Fluency, Clock Drawing Test, and the Alzheimer's Disease Assessment Scale‐Cognitive subscale (ADAS‐cog). RESULTS: The model that best predicted progression from aMCI to AD over 36 months included APOE4 status, the Symbol Digit Modalities Test, Delayed 10‐Word List Recall, New York University Paragraph Recall Test (Delayed), and the ADAS‐cog total score. When APOE4 was removed from the analysis the resulting model had a similar estimated predictive accuracy as the full model. As determined by cross‐validation, the estimated predictive accuracy of the final model was 80%. CONCLUSION: Progression from amnestic mild cognitive impairment to Alzheimer disease in this cohort was best determined by combining four common, easily administered, cognitive measures.","68","19","1588‐1595","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17287448",,,,,"Journal article","Age Distribution; Aged; Aged, 80 and over; Alzheimer Disease [*diagnosis, drug therapy, psychology]; Amnesia [*diagnosis, drug therapy, psychology]; Antioxidants [therapeutic use]; Apolipoprotein E4 [genetics]; Cholinesterase Inhibitors [therapeutic use]; Cognition Disorders [*diagnosis, drug therapy, psychology]; Cohort Studies; Disease Progression; Donepezil; Female; Genotype; Humans; Indans [therapeutic use]; Linear Models; Male; Neuropsychological Tests [*standards, *statistics & numerical data]; Piperidines [therapeutic use]; Placebo Effect; Predictive Value of Tests; Prognosis; Sex Distribution; Vitamin E [therapeutic use]","10.1212/01.wnl.0000258542.58725.4c","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00586802/full",
"CN-00580336","Blacker, D","Neither vitamin E nor donepezil delays progression from amnestic mild cognitive impairment to Alzheimer's disease in the long term","Evidence-based-mental-health","2006",,"9","1","20","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00580336/full","Dementia and Cognitive Improvement"
