CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-01096280","Zhao, J; Song, X; Ai, X; Gu, X; Huang, G; Li, X; Pang, L; Ding, M; Ding, S; Lv, L","Adjunctive Aripiprazole Treatment for Risperidone-Induced Hyperprolactinemia: an 8-Week Randomized, Open-Label, Comparative Clinical Trial","PloS one","2015","OBJECTIVE: The present study aimed to evaluate the efficacy and safety of adjunctive aripiprazole treatment in schizophrenia patients with risperidone‐induced hyperprolactinemia. METHODS: One hundred and thirteen patients who were receiving a stable dose of risperidone were randomly assigned to either adjunctive aripiprazole treatment (10 mg/day) (aripiprazole group) or no additional treatment (control group) at a 1:1 ratio for 8 weeks. Schizophrenia symptoms were measured using the Positive and Negative Syndrome Scale (PANSS). Rating scales and safety assessments (RSESE, BARS, UKU) were performed at baseline and at weeks 4 and 8. Serum levels of prolactin were determined at baseline and at weeks 2, 4, 6 and 8. Metabolic parameters were determined at baseline and again at weeks 4 and 8. RESULTS: One hundred and thirteen patients were enrolled in this study, and 107 patients completed the study (54 in the aripiprazole group, and 53 in the control group). PANSS‐total scores in the aripiprazole group decreased significantly at week 4 (P = 0.003) and week 8 (P = 0.007) compared with the control group. PANSS‐negative scores in the aripiprazole group also decreased significantly at week 4 (P = 0.005) and week 8 (P< 0.001) compared with the control group. Serum levels of prolactin in the aripiprazole group decreased significantly at week 2 (P< 0.001), week 4 (P< 0.001), week 6 (P< 0.001) and week 8 (P< 0.001) compared with the control group. There were no significant differences in changes of Fasting Plasma Glucose, Total cholesterol, Triglycerides and High Density Lipoprotein within each group at week 4 and 8 execpt low density lipoproteins. There was no significant difference in the incidence of adverse reactions between the two groups. CONCLUSIONS: Adjunctive aripiprazole treatment may be beneficial in reducing serum levels of prolactin and improving negative symptoms in schizophrenia patients with risperidone‐induced hyperprolactinemia. TRIAL REGISTRATION: chictr.org ChiCTR‐IOR‐15006278.","10","10","e0139717","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26448615",,"","","","Journal article","*aripiprazole/ae [Adverse Drug Reaction]; *aripiprazole/ct [Clinical Trial]; *aripiprazole/dt [Drug Therapy]; *hyperprolactinemia/si [Side Effect]; *risperidone/ae [Adverse Drug Reaction]; *risperidone/ct [Clinical Trial]; *risperidone/dt [Drug Therapy]; Adult; Akathisia/si [Side Effect]; Antineoplastic Combined Chemotherapy Protocols; Antipsychotic Agents [*therapeutic use]; Aripiprazole [*therapeutic use]; Article; Barnes Akathisia Scale; Blood Glucose [analysis]; Body Mass Index; Chinese; Cholesterol [blood]; Cholesterol blood level; Controlled study; Diagnostic procedure; Drug Administration Schedule; Drug efficacy; Drug safety; Etoposide; Female; Glucose blood level; Glucose/ec [Endogenous Compound]; High density lipoprotein cholesterol/ec [Endogenous Compound]; Human; Humans; Hyperprolactinemia [*chemically induced, complications]; Hypersalivation/si [Side Effect]; Incidence; Lipoproteins, HDL [blood]; Low density lipoprotein cholesterol/ec [Endogenous Compound]; Major clinical study; Male; Mitoxantrone; Nausea/si [Side Effect]; Open study; Positive and Negative Syndrome Scale; Prednisone; Prolactin [blood]; Prolactin blood level; Prolactin/ec [Endogenous Compound]; Psychiatric Status Rating Scales; Randomized controlled trial; Rating Scale for Extrapyramidal Side Effects; Risperidone [therapeutic use, *toxicity]; Schizophrenia [complications, *drug therapy]; Schizophrenia/dt [Drug Therapy]; Somnolence/si [Side Effect]; Treatment Outcome; Triacylglycerol blood level; Triacylglycerol/ec [Endogenous Compound]; Triglycerides [blood]; Vincristine; Xerostomia/si [Side Effect]","10.1371/journal.pone.0139717","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01096280/full","Schizophrenia"
"CN-00962365","Zhang, Y; Dai, G","Efﬁcacy and metabolic influence of paliperidone ER, aripiprazole and ziprasidone to patients with first-episode schizophrenia through 52 weeks follow-up in China","Human psychopharmacology","2012","BACKGROUND: There are no direct comparisons of paliperidone extended‐release (ER), aripiprazole and ziprasidone in efficacy and metabolic influence in patients with first‐episode schizophrenia. OBJECTIVE: The present study examined the efficacy and metabolic influence of paliperidone ER, aripiprazole and ziprasidone in patients with first‐episode schizophrenia in China. METHODS: Subjects were recruited from outpatient and 254 patients entered the trial. These patients received treatment randomly with paliperidone ER, aripiprazole and ziprasidone and were assessed at baseline, 13, 26 and 52 weeks, respectively with Positive and Negative Syndrome Scale (PANSS), 7‐item Clinical Global Impressions‐Severity (CGI‐S), anthropometric (weight, body mass index and waist circumference) and metabolic (fasting blood glucose, HbA1c, cholesterol, high density lipoproteins (HDL), low density lipoproteins and triglycerides) measures. RESULTS: A total of 203 patients completed the trial. Paliperidone group had significant greater reduction in PANSS than aripiprazole group and ziprasidone group from 13 weeks, although the a reduction in PANSS of each group was more than 20%. There was no difference in CGI‐S among the three groups, and all three groups had a significant reduction from baseline in CGI‐S. Aripiprazole group increased in weight and body mass index despite no statistical change in waist circumference. Other two groups showed no changes in anthropometric measure. At the end of the study, two glucose metabolic indices (fasting blood glucose and HbA1c) of aripiprazole group were significantly higher than that of baseline. In lipid metabolism, aripiprazole group reduced triglycerides significantly and had no changes in other indices. Paliperidone group reduced HDL and increased triglycerides despite no changes in glucose metabolism. Ziprasidone group also had no significant changes in glucose metabolism, but reduced cholesterol, low density lipoproteins and increased HDL. Furthermore, 22 subjects in three groups reached the diagnostic criteria of metabolic syndrome. CONCLUSIONS: Paliperidone ER, aripiprazole and ziprasidone are effective in treating first‐episode schizophrenia, and the ranking of efficacy from high to low is paliperidone ER > aripiprazole > ziprasidone. Paliperidone ER can impair lipid metabolism potentially but had no influence on glucose metabolism. Aripiprazole can damage glucose metabolism and has little influence on lipid metabolism. Ziprasidone is considered an atypical antipsychotic with no evidence of harm to glucose and lipid metabolism.","27","6","605‐614","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24446539",,,,,"Journal article","Adult; Antipsychotic Agents [adverse effects, *therapeutic use]; Aripiprazole; Body Mass Index; China; Delayed‐Action Preparations [therapeutic use]; Diagnostic and Statistical Manual of Mental Disorders; Female; Follow‐Up Studies; Humans; Hyperglycemia [chemically induced]; Hyperlipidemias [chemically induced]; Isoxazoles [adverse effects, *therapeutic use]; Male; Metabolic Diseases [*chemically induced]; Paliperidone Palmitate; Piperazines [adverse effects, *therapeutic use]; Psychiatric Status Rating Scales; Pyrimidines [adverse effects, *therapeutic use]; Quinolones [adverse effects, *therapeutic use]; Schizophrenia [blood, *drug therapy]; Thiazoles [adverse effects, *therapeutic use]; Weight Gain [drug effects]; Young Adult","10.1002/hup.2270","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00962365/full",
"CN-00622193","Wu, RR; Zhao, JP; Jin, H; Shao, P; Fang, MS; Guo, XF; He, YQ; Liu, YJ; Chen, JD; Li, LH","Lifestyle intervention and metformin for treatment of antipsychotic-induced weight gain: a randomized controlled trial","JAMA","2008","CONTEXT: Weight gain, a common adverse effect of antipsychotic medications, is associated with medical comorbidities in psychiatric patients. OBJECTIVE: To test the efficacy of lifestyle intervention and metformin alone and in combination for antipsychotic‐induced weight gain and abnormalities in insulin sensitivity. DESIGN, SETTING, AND PATIENTS: A randomized controlled trial (October 2004‐December 2006) involving 128 adult patients with schizophrenia in the Mental Health Institute of the Second Xiangya Hospital, Central South University, China. Participants who gained more than 10% of their predrug weight were assigned to 1 of 4 treatment groups. INTERVENTIONS: Patients continued their antipsychotic medication and were randomly assigned to 12 weeks of placebo, 750 mg/d of metformin alone, 750 mg/d of metformin and lifestyle intervention, or lifestyle intervention only. MAIN OUTCOME MEASURES: Body mass index, waist circumference, insulin levels, and insulin resistance index. RESULTS: All 128 first‐episode schizophrenia patients maintained relatively stable psychiatric improvement. The lifestyle‐plus‐metformin group had mean decreases in body mass index (BMI) of 1.8 (95% confidence interval [CI], 1.3‐2.3), insulin resistance index of 3.6 (95% CI, 2.7‐4.5), and waist circumference of 2.0 cm (95% CI, 1.5‐2.4 cm). The metformin‐alone group had mean decreases in BMI of 1.2 (95% CI, 0.9‐1.5), insulin resistance index of 3.5 (95% CI, 2.7‐4.4), and waist circumference of 1.3 cm (95% CI, 1.1‐1.5 cm). The lifestyle‐plus‐placebo group had mean decreases in BMI of 0.5 (95% CI, 0.3‐0.8) and insulin resistance index of 1.0 (95% CI, 0.5‐1.5). However, the placebo group had mean increases in BMI of 1.2 (95% CI, 0.9‐1.5), insulin resistance index of 0.4 (95% CI, 0.1‐0.7), and waist circumference of 2.2 cm (95% CI, 1.7‐2.8 cm). The lifestyle‐plus‐metformin treatment was significantly superior to metformin alone and to lifestyle plus placebo for weight, BMI, and waist circumference reduction. CONCLUSIONS: Lifestyle intervention and metformin alone and in combination demonstrated efficacy for antipsychotic‐induced weight gain. Lifestyle intervention plus metformin showed the best effect on weight loss. Metformin alone was more effective in weight loss and improving insulin sensitivity than lifestyle intervention alone. Trial Registration clinicaltrials.gov Identifier: NCT00451399.","299","2","185‐193","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 18182600",,"","","","Journal article","Adult; Antipsychotic Agents [*adverse effects]; Blood Glucose; Body Mass Index; Double‐Blind Method; Female; Humans; Hypoglycemic Agents [*therapeutic use]; Insulin Resistance; Male; Metformin [*therapeutic use]; Overweight [*chemically induced, prevention & control]; Risk Reduction Behavior; Schizophrenia [drug therapy]; Weight Gain [*drug effects]; Weight Loss","10.1001/jama.2007.56-b","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00622193/full","SR-BEHAVMED; Metabolic and Endocrine Disorders; Schizophrenia"
"CN-00629793","Wu, RR; Zhao, JP; Guo, XF; He, YQ; Fang, MS; Guo, WB; Chen, JD; Li, LH","Metformin addition attenuates olanzapine-induced weight gain in drug-naive first-episode schizophrenia patients: a double-blind, placebo-controlled study","American journal of psychiatry","2008","OBJECTIVE: The purpose of this study was to assess the efficacy of metformin in preventing olanzapine‐induced weight gain. METHOD: Forty patients with schizophrenia were randomly assigned to treatment for 12 weeks with olanzapine, 15 mg/day, plus metformin, 750 mg/day (N=20), or olanzapine, 15 mg/day, plus placebo (N=20). This investigation was conducted in a double‐blind fashion. Planned assessments included body weight, body mass index, proportion of patients who gained more than 7% of their baseline weight at the end of the 12‐week treatment, waist circumference, waist‐to‐hip ratio, fasting glucose and insulin, insulin resistance index, and scores on the Scale for the Assessment of Positive Symptoms (SAPS) and Scale for the Assessment of Negative Symptoms (SANS). RESULTS: Of the 40 patients who were randomly assigned, 37 (92.5%) completed treatments. The weight, body mass index, waist circumference, and waist‐to‐hip ratio levels increased less in the olanzapine plus metformin group relative to the olanzapine plus placebo group during the 12‐week follow‐up period. The insulin and insulin resistance index values of the olanzapine plus placebo group increased significantly at weeks 8 and 12. In contrast, the insulin and insulin resistance index levels of the olanzapine plus metformin group remained unchanged. Significantly fewer patients in the olanzapine plus metformin group relative to patients in the olanzapine plus placebo group increased their baseline weight by more than 7%, which was the cutoff for clinically meaningful weight gain. There was a significant decrease in SAPS and SANS scores within each group from baseline to week 12, with no between‐group differences. Metformin was tolerated well by all patients. CONCLUSIONS: Metformin was effective and safe in attenuating olanzapine‐induced weight gain and insulin resistance in drug‐naive first‐episode schizophrenia patients. Patients displayed good adherence to this type of preventive intervention.","165","3","352‐358","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 18245179",,,,,"Journal article","Adolescent; Adult; Antipsychotic Agents [*adverse effects, therapeutic use]; Benzodiazepines [*adverse effects, therapeutic use]; Body Mass Index; Double‐Blind Method; Drug Administration Schedule; Drug Therapy, Combination; Follow‐Up Studies; Humans; Hypoglycemic Agents [administration & dosage, *therapeutic use]; Metformin [administration & dosage, *therapeutic use]; Middle Aged; Obesity [chemically induced, *prevention & control]; Olanzapine; Placebos; Psychiatric Status Rating Scales [statistics & numerical data]; Schizophrenia [diagnosis, *drug therapy]; Treatment Outcome; Waist‐Hip Ratio; Weight Gain [*drug effects]","10.1176/appi.ajp.2007.07010079","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00629793/full","Metabolic and Endocrine Disorders; Schizophrenia"
"CN-00701143","Wu, RR; Zhao, JP; Zhai, JG; Guo, XF; Guo, WB","Sex difference in effects of typical and atypical antipsychotics on glucose-insulin homeostasis and lipid metabolism in first-episode schizophrenia","Journal of clinical psychopharmacology","2007","OBJECTIVE: The present study was to investigate the sex difference in effects of clozapine, olanzapine, risperidone, and sulpiride on glucose and lipid metabolism in first‐episode schizophrenia. METHOD: One hundred twelve patients with schizophrenia were assigned randomly to receive clozapine, olanzapine, risperidone, or sulpiride for 8 weeks. Planned assessments included body mass index, waist‐hip ratio, fasting glucose, insulin, C‐peptide, insulin resistance index (IRI), cholesterol and triglyceride levels. All measures were collected at baseline and at the end of the 8‐week treatment. RESULTS: After treatment, waist‐hip ratio and triglyceride and IRI levels of men were increased higher than that of women in clozapine and olanzapine groups. In sulpiride group, body mass index and triglyceride, insulin, and IRI levels of women increased higher than those of men. There was no significant sex difference for all assessments in risperidone group. Insulin, C‐peptide, and IRI, but not fasting glucose levels, were significantly increased in the 4 groups. Cholesterol and triglyceride levels were significantly increased in the clozapine and olanzapine groups. Patients treated with clozapine and olanzapine had higher fasting insulin, C‐peptide, and IRI levels than those treated with risperidone and sulpiride. CONCLUSIONS: These results suggest that clozapine, olanzapine, and sulpiride had effects on glucose and lipid metabolism in first‐episode schizophrenia with sex difference. Clozapine and olanzapine seem to have the greatest potential to induce glucose and lipid metabolism abnormalities, and risperidone has the least.","27","4","374‐379","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17632222",,,,,"Journal article","Adult; Antipsychotic Agents [*adverse effects, therapeutic use]; Blood Glucose [*metabolism]; Body Mass Index; Body Weight [drug effects]; Cholesterol [blood]; C‐Peptide [blood]; Female; Homeostasis [*drug effects]; Humans; Insulin [*blood]; Lipid Metabolism [*drug effects]; Longitudinal Studies; Male; Prospective Studies; Schizophrenia [drug therapy, *metabolism]; Sex Characteristics; Triglycerides [blood]","10.1097/JCP.0b013e3180cac8db","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00701143/full","Metabolic and Endocrine Disorders; Schizophrenia"
"CN-00570384","Wu, RR; Zhao, JP; Liu, ZN; Zhai, JG; Guo, XF; Guo, WB; Tang, JS","Effects of typical and atypical antipsychotics on glucose-insulin homeostasis and lipid metabolism in first-episode schizophrenia","Psychopharmacology","2006","RATIONALE: Glucose and lipid metabolism dysfunction is a significant side effect associated with antipsychotics. Although there are many studies about the linkages between drugs and metabolic dysfunction, most of these studies have compared the effects of two antipsychotics on only one metabolic measure: either glucose or lipid metabolism. OBJECTIVES: The present study aimed to investigate the effects of clozapine, olanzapine, risperidone, and sulpiride on glucose and lipid metabolism in first‐episode schizophrenia. MATERIALS AND METHODS: One hundred twelve schizophrenics were assigned randomly to receive clozapine, olanzapine, risperidone, or sulpiride for 8 weeks. Planned assessments included body mass index (BMI), waist‐to‐hip ratio, fasting glucose, insulin, C‐peptide, insulin resistance index (IRI), cholesterol, and triglyceride. All measures were collected at baseline and at the end of the 8‐week treatment. RESULTS: After treatment, insulin, C‐peptide, and IRI were significantly increased in the four groups, but not fasting glucose levels. Cholesterol and triglyceride levels were significantly increased in the clozapine and olanzapine groups. Patients treated with clozapine and olanzapine had higher fasting insulin, C‐peptide, and IRI levels than those treated with risperidone and sulpiride. Among the four antipsychotics, the increases of mean BMI from high to low were as follows: clozapine, olanzapine, sulpiride, and risperidone. CONCLUSIONS: This study confirmed that the four antipsychotic drugs were associated with an increase of insulin, C‐peptide, and IRI. It was found that clozapine and olanzapine were associated with an increase in cholesterol and triglyceride levels. The effects of clozapine and olanzapine on the glucose and lipid metabolism outweighed those of risperidone and sulpiride.","186","4","572‐578","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16601995","EMBASE 43855844",,,,"Journal article","*atypical antipsychotic agent/ae [Adverse Drug Reaction]; *atypical antipsychotic agent/cm [Drug Comparison]; *atypical antipsychotic agent/ct [Clinical Trial]; *atypical antipsychotic agent/do [Drug Dose]; *atypical antipsychotic agent/dt [Drug Therapy]; *clozapine/ae [Adverse Drug Reaction]; *clozapine/cm [Drug Comparison]; *clozapine/ct [Clinical Trial]; *clozapine/do [Drug Dose]; *clozapine/dt [Drug Therapy]; *glucose homeostasis; *glucose metabolism; *lipid metabolism; *metabolic disorder/si [Side Effect]; *neuroleptic agent/ae [Adverse Drug Reaction]; *neuroleptic agent/cm [Drug Comparison]; *neuroleptic agent/ct [Clinical Trial]; *neuroleptic agent/do [Drug Dose]; *neuroleptic agent/dt [Drug Therapy]; *olanzapine/ae [Adverse Drug Reaction]; *olanzapine/cm [Drug Comparison]; *olanzapine/ct [Clinical Trial]; *olanzapine/do [Drug Dose]; *olanzapine/dt [Drug Therapy]; *risperidone/ae [Adverse Drug Reaction]; *risperidone/cm [Drug Comparison]; *risperidone/ct [Clinical Trial]; *risperidone/do [Drug Dose]; *risperidone/dt [Drug Therapy]; *schizophrenia/dt [Drug Therapy]; *sulpiride/ae [Adverse Drug Reaction]; *sulpiride/cm [Drug Comparison]; *sulpiride/ct [Clinical Trial]; *sulpiride/do [Drug Dose]; *sulpiride/dt [Drug Therapy]; Abnormally high substrate concentration in blood/si [Side Effect]; Adult; Antipsychotic Agents [*adverse effects]; Article; Benzodiazepines [adverse effects]; Blood Glucose [*drug effects]; Body Mass Index; Body mass; C peptide/ec [Endogenous Compound]; Cholesterol [blood]; Cholesterol blood level; Cholesterol/ec [Endogenous Compound]; Clinical trial; Clozapine [adverse effects]; Controlled clinical trial; Controlled study; C‐Peptide [blood]; Extrapyramidal syndrome/dt [Drug Therapy]; Extrapyramidal syndrome/si [Side Effect]; Female; Glucose/ec [Endogenous Compound]; Homeostasis [drug effects]; Human; Humans; Insulin Resistance; Insulin [*blood]; Insulin resistance; Insulin/ec [Endogenous Compound]; Lipid Metabolism [*drug effects]; Lorazepam; Major clinical study; Male; Metabolic Syndrome [blood, chemically induced, metabolism]; Olanzapine; Priority journal; Prospective Studies; Randomized controlled trial; Risperidone [adverse effects]; Schizophrenia [*blood, *drug therapy]; Sulpiride [adverse effects]; Triacylglycerol blood level; Triacylglycerol/ec [Endogenous Compound]; Triglycerides [blood]; Trihexyphenidyl/dt [Drug Therapy]; Waist hip ratio; Waist‐Hip Ratio","10.1007/s00213-006-0384-5","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00570384/full","Metabolic and Endocrine Disorders"
"CN-00880954","Wang, M; Tong, JH; Zhu, G; Liang, GM; Yan, HF; Wang, XZ","Metformin for treatment of antipsychotic-induced weight gain: a randomized, placebo-controlled study","Schizophrenia research","2012","OBJECTIVES: To evaluate the efficacy of metformin for treatment of antipsychotic‐induced weight gain. METHODS: Seventy‐two patients with first‐episode schizophrenia who gained more than 7% of their predrug weight were randomly assigned to receive 1000 mg/d of metformin or placebo in addition to their ongoing treatment for 12 weeks using a double‐blind study design. The primary outcome was change in body weight. The secondary outcomes included changes in body mass index, fasting glucose and insulin, and insulin resistance index. RESULTS: Of the 72 patients who were randomly assigned, 66 (91.6%) completed treatments. The body weight, body mass index, fasting insulin and insulin resistance index decreased significantly in the metformin group, but increased in the placebo group during the 12‐week follow‐up period. Significantly more patients in the metformin group lost their baseline weight by more than 7%, which was the cutoff for clinically meaningful weight loss. Metformin was tolerated well by majority patients. CONCLUSION: Metformin was effective and safe in attenuating antipsychotic‐induced weight gain and insulin resistance in first‐episode schizophrenia patients. Patients displayed good adherence to metformin.","138","1","54‐57","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 22398127",,,,,"Journal article","Adult; Antipsychotic Agents [*adverse effects]; Blood Glucose [drug effects]; Body Mass Index; Body Weight [*drug effects]; Double‐Blind Method; Female; Humans; Hypoglycemic Agents [*therapeutic use]; Insulin Resistance; Male; Metformin [*therapeutic use]; Overweight [chemically induced, *drug therapy]; Schizophrenia [*drug therapy]; Weight Gain [*drug effects]","10.1016/j.schres.2012.02.021","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00880954/full",
"CN-00851038","Tohen, M; McDonnell, DP; Case, M; Kanba, S; Ha, K; Fang, Y","A randomized, double-blind, placebo-controlled study of olanzapine in patients with bipolar depression","Bipolar disorders [abstracts of the 9th international conference on bipolar disorder; 9 - 11 june 2011, pittsburgh, PA united states]","2011",,"13","s1","100","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Conference Proceeding",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00851038/full","Common Mental Disorders"
"CN-02298463",,"Retraction of Vitamin D Supplementation Affects the Beck Depression Inventory, Insulin Resistance, and Biomarkers of Oxidative Stress in Patients with Major Depressive Disorder: a Randomized, Controlled Clinical Trial. J Nutr 2016;146(2): 243-8 [Retraction notice for CN-01137202]","Journal of nutrition","2021",,"151","5","1360","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 33974698","EMBASE 635018973",,,,"Journal article; Retraction of Publication","*retraction notice","10.1093/jn/nxab072","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02298463/full",
"CN-01137202","Sepehrmanesh, Z; Kolahdooz, F; Abedi, F; Mazroii, N; Assarian, A; Asemi, Z; Esmaillzadeh, A","Vitamin D Supplementation Affects the Beck Depression Inventory, Insulin Resistance, and Biomarkers of Oxidative Stress in Patients with Major Depressive Disorder: A Randomized, Controlled Clinical Trial [Retraction notice in CN-02298463]","Journal of nutrition","2016","BACKGROUND: Vitamin D may decrease depression symptoms through its beneficial effects on neurotransmitters, metabolic profiles, biomarkers of inflammation, and oxidative stress. OBJECTIVE: This study was designed to assess whether vitamin D supplementation can reduce symptoms of depression, metabolic profiles, serum high‐sensitivity C‐reactive protein (hs‐CRP), and biomarkers of oxidative stress in patients with major depressive disorder (MDD). METHODS: This randomized, double‐blind, placebo‐controlled clinical trial was performed in 40 patients between 18 and 65 y of age with a diagnosis of MDD based on criteria from the Diagnostic and Statistical Manual of Mental Disorders. Patients were randomly assigned to receive either a single capsule of 50 kIU vitamin D/wk (n = 20) or placebo (n = 20) for 8 wk. Fasting blood samples were taken at baseline and postintervention to quantify relevant variables. The primary [Beck Depression Inventory (BDI), which examines depressive symptoms] and secondary (glucose homeostasis variables, lipid profiles, hs‐CRP, and biomarkers of oxidative stress) outcomes were assessed. RESULTS: Baseline concentrations of mean serum 25‐hydroxyvitamin D were significantly different between the 2 groups (9.2 ± 6.0 and 13.6 ± 7.9 μg/L in the placebo and control groups, respectively, P = 0.02). After 8 wk of intervention, changes in serum 25‐hydroxyvitamin D concentrations were significantly greater in the vitamin D group (+20.4 μg/L) than in the placebo group (‐0.9 μg/L, P < 0.001). A trend toward a greater decrease in the BDI was observed in the vitamin D group than in the placebo group (‐8.0 and ‐3.3, respectively, P = 0.06). Changes in serum insulin (‐3.6 compared with +2.9 μIU/mL, P = 0.02), estimated homeostasis model assessment of insulin resistance (‐1.0 compared with +0.6, P = 0.01), estimated homeostasis model assessment of β cell function (‐13.9 compared with +10.3, P = 0.03), plasma total antioxidant capacity (+63.1 compared with ‐23.4 mmol/L, P = 0.04), and glutathione (+170 compared with ‐213 μmol/L, P = 0.04) in the vitamin D group were significantly different from those in the placebo group. CONCLUSION: Overall, vitamin D supplementation of patients with MDD for 8 wk had beneficial effects on the BDI, indicators of glucose homeostasis, and oxidative stress. This trial was registered at www.irct.ir as IRCT201412065623N29.","146","2","243‐248","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26609167","EMBASE 608794678","","","","Journal article; Retracted Publication","*Beck Depression Inventory; *Dietary Supplements; *Insulin Resistance; *biological marker/ec [Endogenous Compound]; *insulin resistance; *major depression/dt [Drug Therapy]; *oxidative stress; *vitamin D/cr [Drug Concentration]; *vitamin D/ct [Clinical Trial]; *vitamin D/do [Drug Dose]; *vitamin D/dt [Drug Therapy]; *vitamin supplementation; Adult; Aged; Antioxidants [metabolism]; Article; Blood Glucose [metabolism]; C reactive protein/ec [Endogenous Compound]; Clinical article; Controlled study; C‐Reactive Protein [metabolism]; Depression [*drug therapy]; Depressive Disorder, Major [*drug therapy]; Double blind procedure; Double‐Blind Method; Drug blood level; Drug effect; Drug megadose; Female; Glucose homeostasis; Glutathione/ec [Endogenous Compound]; Human; Humans; Insulin [blood]; Lipid analysis; Male; Oxidative Stress [*drug effects]; Pancreas islet beta cell; Placebo; Randomized controlled trial; Vitamin D [analogs & derivatives, blood, pharmacology, *therapeutic use]","10.3945/jn.115.218883","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01137202/full","Complementary Medicine"
