CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-00612679","Zhou, C-P; Su, Y-Y","Effect of the equal non-protein-calorie but different protein intake on enteral nutritional metabolism in 51 patients with severe stroke: a randomized controlled study","Chinese journal of clinical nutrition","2006","Objective: To study the enteral nutritional approach to decrease the risk of hypoalbumenia in the patients with severe stroke. Methods: Fifty‐one patients with severe stroke were randomly allocated into two groups with high protein enteral nutrition formula (EN was supplied as Fresubin 750 MCT, NPC:N = 100:1, n = 25) or standard enteral nutrition formula (EN was supplied as Nutrition Fibre, NPC:N = 130:1, n =26) respectively. They received equal non‐protein‐calorie (104.5 kJ · kg‐1 · d‐1) in all cases for 14 days. Results: Compared to standard nutritional supplementation, high protein nutritional supplementation was associated with a lower incidence of serum protein decrease, including total protein, albumin, and especially prealbumin in patients on the 7th day after stroke (P < 0.05). In the case of APACHE II > 19, incidence of hypoalbumemia was significantly lower in the high protein group during the 14 days after stroke (P < 0 05). Three‐month survival rate was similar between groups, but high protein group tended to have a higher one‐month survival rate. Conclusion: High protein enteral nutritional formula could reduce the risk of hypoalbumemia significantly in the patients with severe stroke. Thus high protein enteral nutrition is recommended to be used in severe stroke patients.","14","6","351‐355","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 46043731",,,,"Journal article","*cerebrovascular accident; *enteric feeding; *hypoalbuminemia /complication /prevention /therapy; APACHE; Adolescent; Adult; Aged; Article; Caloric intake; Clinical trial; Controlled clinical trial; Controlled study; Diet supplementation; Disease severity; Female; Human; Incidence; Intermethod comparison; Major clinical study; Male; Protein diet; Protein intake; Randomized controlled trial; Risk reduction; Survival rate; Treatment outcome",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00612679/full","Stroke"
"CN-01259337","Zheng, T; Zhu, X; Liang, H; Huang, H; Yang, J; Wang, S","Impact of early enteral nutrition on short term prognosis after acute stroke","Journal of clinical neuroscience","2015","We hypothesized that early enteral nutritional support would improve the short term prognosis of acute stroke patients with dysphagia, demonstrated by lower malnutrition rates, lower complication rates, and lower National Institutes of Health Stroke Scale (NIHSS) scores at 90 days post stroke. Nutrition support is an essential element in the care of stroke patients and many studies have investigated the effect of specific nutritional elements on stroke patients. However, few studies have looked at the impact of complete enteral nutrition on Chinese patients with acute stroke. To investigate this, we conducted a randomized controlled trial of 146 patients with acute stroke and dysphagia, among whom 75 were supported with nasogastric nutrition and 71 received family managed nutrition after randomization. Nutritional status, nosocomial infection and mortality rates were recorded on day 21 of hospitalization. Neurological deficits were evaluated by the NIHSS activities of daily living Barthel index (ADLBI) and the modified Rankin scale (mRS) and compared between the two groups. We found that the nasogastric nutrition group had a better nutritional status and reduced nosocomial infection and mortality rates after 21 days compared with patients in the family managed nutrition group. In addition, the nasogastric nutrition group showed a lower score on the NIHSS than the control group. However, the differences in the scores of the ADLBI and the 90 day mRS between the groups were not significant. Taken together, the present study shows that early enteral nutrition support improves the short term prognosis of acute stroke patients with dysphagia.","22","9","1473‐1476","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26183306",,,,,"Journal article","Aged; Aged, 80 and over; Cross Infection [epidemiology]; Deglutition Disorders [etiology, *therapy]; Enteral Nutrition; Female; Hospitalization; Humans; Intubation, Gastrointestinal; Male; Middle Aged; Prognosis; Stroke [*complications]; United States","10.1016/j.jocn.2015.03.028","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01259337/full","Stroke"
"CN-00613123","Zheng, T-H; Wang, S-S; Chen, Z-L; Yang, J-D; Zhao, H-F; Cheng, L","The effect of early enteral nutrition support on immunological function in patients with acute stroke","Chinese journal of cerebrovascular diseases","2006","Objective: To discuss the effect of early enteral nutrition support on immunological function in patients with acute stroke. Methods: Forty‐nine stroke patients with dysphagia were randomly allocated into study group (n = 24) and control group (n = 25). They were received enteral nutrition via nasogastric tube and ordinary nasal feeding of liguid diet, respectively within 72 hours after admission. The levels of total lymphocyte count (TLC), immune globulin A (IgA), immune globulin G (IgG), immune globulin M (IgM), complement 3 (C3), and complement 4 (C4) in both groups were detected on day 1, 7 and 21 respectively after admission. The changes of nutritional index and the incidence of infective complications were observed. Results: The levels of TLC [(2.1 ± 0.4) × 109/L], IgA [(2.7 ± 0.5) g/L], IgG [(11.1 ± 2.2) g/L], IgM [(1.7 ± 0.7) g/L], and C3 [(1.2 ± 0.2) g/L] in the study group were significantly higher than the levels of TLC (1.7 ± 0.4 × 109/L, P < 0.05), IgA [(2.0 ± 0.4) g/L, P < 0.01], IgG [(8.9 ± 2.5) g/L, P < 0.01], IgM [(1.3 ± 0.6) g/L, P < 0.05], and C3 [(1.0 ± 0.3) g/L, P < 0.01] in the control group after 21 days. The incidence of infective complications in the study group (29.1%) was significantly lower than that in the control group (60.0%; P < 0.05). The nutritive index of the study group was also significantly better than that in the control group. Conclusion: Early enteral nutrition support may improve the immunological function in patients with acute stroke, and decrease the incidence of infective complications.","3","8","356‐360","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 44317363",,,,"Journal article","*cerebrovascular accident; *enteric feeding; *nutritional support; Acute disease; Adult; Aged; Article; Clinical article; Controlled study; Dysphagia; Female; Human; Immune system; Incidence; Infectious complication /complication; Lymphocyte count; Male; Nasogastric tube; Nose feeding; Nutrition; Statistical analysis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00613123/full","Stroke"
"CN-02266649","Zhao, S; Wang, B; Li, Y; Geng, S; Zhao, X; Wang, W; Xie, L; Wang, Y; Xue, H; Li, Y","Impact of early enteral nutrition on nutritional indicators in patients with severe cerebrovascular disease","Chinese journal of clinical nutrition","2020","Objective: To investigate the impact of early enteral nutrition (EN) on nutritional indicators and short‐term prognosis of patients with severe cerebrovascular disease. Methods: Patients receiving EN from May 2017 to December 2018 in our department were enrolled and randomized into early (within 3 days after onset) feeding group (group E) and conventional (within 7 days after onset) feeding group (group L). Albumin, prealbumin, hemoglobin, upper arm muscle circumference (AMC), skin fold thickness (TSF), neurological function score were detected on day 1, 7, 14, 21 and 28. The incidence of infection and gastrointestinal complications were calculated. Results: The serum albumin levels of group E at day 21 were significantly higher than that of group L (P=0.025). The serum prealbumin levels of group E at day 14 were significantly higher than that of group L (P=0.003). For hemoglobin levels, no significant difference was observed between two groups (P>0.05 while the changes from admission to day 28 were significant within either group (P=0.0005). The difference of TSF and AMC values between two groups was not statistically significant (P>0.05) at any time point. The national institutes of health stroke scale (NIHSS) scores at day 14 showed significant difference between two groups (P=0.03) while none in Barthel index (P>0.05). Concerning clinical complications, diarrhea was more commonly observed in group E than group L (P=0.033) while incidence of pneumonia and urinary tract infection was comparable between groups. Conclusions: Early EN is safe and effective for patients with severe cerebrovascular disease, and can maintain nutritional indicator levels stable, such as serum albumin, serum prealbumin, and muscle and adipose tissue volume. Patients receiving early EN displayed improved neurological dysfunction but remained disabled.","28","4","232‐237","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 2011133546",,,,"Journal article","*cerebrovascular accident; *enteric feeding; *nutritional health; Albumin blood level; Anthropometric parameters; Arm muscle circumference; Article; Barthel index; Controlled study; Diarrhea; Gastrointestinal symptom; Hemoglobin blood level; Human; Incidence; Infection rate; National Institutes of Health Stroke Scale; Nervous system function; Pneumonia; Prognosis; Randomized controlled trial; Safety; Skinfold thickness; Urinary tract infection","10.3760/cma.j.cn115822-20200716-00175","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02266649/full",
"CN-00721307","Zhang, JJ; Dong, WF; Gu, SJ; Zhang, J; Xuan, HF; Xie, RL","Clinical study on the early nutrition support in postoperative patients with critical hypertensive intracerebral hemorrhage","Zhongguo wei zhong bing ji jiu yi xue [Chinese critical care medicine]","2004","OBJECTIVE: To investigate the clinical significance of early nutritional support for patients with critical hypertensive intracerebral hemorrhage (HICH) in a critical condition after operation, and the rationale of different methods of nutritional support. METHODS: One hundred and seven HICH patients after operation with Glasgow coma score (GCS) 6‐8 were randomly divided into three groups: early enteral nutrition (EEN) group (38 cases); early parenteral nutrition (EPN) group (35 cases), conventional treatment controls (34 cases). They were given different nutritional supports 48 hours after operation. Changes in nutritional parameters and the clinical complications in three groups after treatment were observed, and the treatment effects after 3 months were compared. RESULTS: At the end of first week after operation, nutrition parameters including albumin (ALb), hemoglobin (Hgb) in EEN and EPN groups were better than those in control group(P<0.05); at the end of second week, they were differences among three groups but without statistical significance (P>0.05). The complications were higher in EPN and control groups (P<0.05 or P<0.01). The outcome was assessed 3 months after the operation in term of activity of daily life (ADL), and the result was better in EEN group than that in EPN and control groups (P<0.005). CONCLUSION: Postoperative HICH patients in critical condition could be benefited with EEN, and complications could be reduced with improved prognosis.","16","9","552‐555","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 15355623",,,,,"Journal article","Adult; Aged; Aged, 80 and over; Female; Humans; Intracranial Hemorrhage, Hypertensive [*surgery]; Male; Middle Aged; Nutritional Support [*methods]; Postoperative Care; Prognosis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00721307/full",
"CN-01650094","Yoshimura, Y; Bise, T; Shimazu, S; Tanoue, M; Tomioka, Y; Araki, M; Nishino, T; Kuzuhara, A; Takatsuki, F","Effects of a leucine-enriched amino acid supplement on muscle mass, muscle strength, and physical function in post-stroke patients with sarcopenia: a randomized controlled trial","Nutrition (Burbank, Los Angeles County, Calif.)","2019","Objectives: The aim of this study was to investigate the effects of a leucine‐enriched amino acid supplement on muscle mass, muscle strength, and physical function in post‐stroke patients with sarcopenia. Methods: We conducted an eight‐wk, two‐parallel group intervention, randomized controlled, blinded outcome assessment among 44 post‐stroke older patients with sarcopenia. Sarcopenia was defined as a loss of skeletal muscle mass and decreased muscle strength according to the Asian Working Group for Sarcopenia criteria. The intervention group (n = 21) received a leucine‐enriched amino acid supplement; the control group (n = 23) did not. Both groups performed low‐intensity resistance training in addition to a post‐stroke rehabilitation program. A primary outcome of physical function by using the motor domain of Functional Independence Measure (FIM), and secondary outcomes of appendicular muscle mass (skeletal muscle mass index [SMI]) measured via bioelectrical impedance analysis and muscle strength as handgrip strength were measured at baseline and at the end of the intervention. Results: The FIM score increased significantly in both groups over time (P < 0.01), with significantly greater improvement in the intervention group than in the control group (P < 0.045). Handgrip strength also increased significantly over time (P <0.05), with significantly greater improvement in the intervention group (P < 0.01). The SMI increased significantly in the intervention group but not in the control group over time, with significantly greater improvement in the intervention group (median estimated difference, 0.50 kg/m2; 95% confidence interval, 0.01–2.11). Conclusions: We demonstrated that an eight‐wk intervention consisting of a leucine‐enriched amino acid supplementation and low‐intensity resistance training increased muscle mass, strength, and physical function in post‐stroke patients with sarcopenia.","58",,"1‐6","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 30273819","EMBASE 2001141397",,,,"Journal article","*cerebrovascular accident /rehabilitation; *diet supplementation; *muscle mass; *muscle strength; *physical activity; *sarcopenia; Activities of Daily Living; Aged; Aged, 80 and over; Article; Clinical article; Controlled study; Dietary Supplements; Female; Geriatric Assessment [methods]; Grip strength; Health Status; Human; Humans; Impedance; Leucine [administration & dosage, *pharmacology]; Male; Muscle Strength [*drug effects]; Muscle, Skeletal [*drug effects]; Open study; Outcome assessment; Parallel design; Priority journal; Randomized controlled trial; Resistance training; Sarcopenia [*complications]; Stroke Rehabilitation [*methods]; Stroke [complications]; Stroke rehabilitation; Treatment Outcome","10.1016/j.nut.2018.05.028","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01650094/full","Stroke"
"CN-01445734","Yoshimura, Y; Bise, T; Shimazu, S; Shiraishi, A","A randomized-controlled trial of leucine-enriched amino-acid mixtures on muscle mass, strength, and physical performance in post-stroke patients with sarcopenia","Clinical nutrition (Edinburgh, Scotland)","2017",,"36",,"s198","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,"10.1016/S0261-5614(17)31034-8","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01445734/full","Stroke"
"CN-00563089","Ullegaddi, R; Powers, HJ; Gariballa, SE","Antioxidant supplementation with or without B-group vitamins after acute ischemic stroke: a randomized controlled trial","JPEN. Journal of parenteral and enteral nutrition","2006","BACKGROUND: Evidence shows that there is a rapid increase in the production of markers of oxidative damage immediately after acute ischemic stroke and that endogenous antioxidant defenses are rapidly depleted, thus permitting further tissue damage. Several studies point to an antioxidant effect of B‐group vitamins and a pro‐oxidant effect of elevated total plasma homocysteine (tHcy). METHODS: To test whether supplementary antioxidants with or without B‐group vitamins during this critical period enhance antioxidant capacity or mitigate oxidative damage, ninety‐six acute ischemic stroke patients within 12 hours of symptom onset were randomly assigned to receive either daily oral 800 IU (727 mg) vitamin E and 500 mg vitamin C (n = 24), or B‐group vitamins (5 mg folic acid, 5 mg vitamin B(2), 50 mg vitamin B(6), and 0.4 mg of vitamin B(12); n = 24), both vitamins together (n = 24), or no supplementation (n = 24) for 14 days. Treatment groups and controls were matched for stroke subtype and age. Blood was obtained before treatment, at day 7, and day 14 for measurements of plasma or blood vitamin status, plasma total antioxidant capacity (TAOC), malondialdehyde (MDA), tHcy and C‐reactive protein (CRP). RESULTS: Supplementation with antioxidant vitamins and B‐group vitamins separately or together significantly increased the plasma concentration of vitamin C, E, pyridoxal phosphate (B(6) status), red blood cell folate, and improved a measure of B(2) status (red cell glutathione reductase activation coefficient [EGRAC]), compared with the control group. Plasma TAOC increased significantly in the antioxidant treatment groups compared with the nonsignificant decline seen in the control group. tHcy concentrations decreased in subjects who received B‐group vitamins and the control group compared with the rise seen in those who received antioxidants alone. There was a significant reduction in plasma MDA concentration in the 3 treatment groups, in contrast to the increase seen in the control group; however, the changes were most evident in antioxidant groups. CRP concentrations (a marker of tissue inflammation) were significantly lower in the 3 treatment groups compared with the control group. There were no additive or synergistic effects of antioxidants and B‐group vitamins together on any outcome measure. CONCLUSIONS: Antioxidants supplementation with or without B‐group vitamins enhances antioxidant capacity, mitigates oxidative damage, and may have an anti‐inflammatory effect immediately postinfarct in stroke disease.","30","2","108‐114","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16517955","EMBASE 44314784",,,,"Journal article","*antioxidant/cb [Drug Combination]; *antioxidant/cm [Drug Comparison]; *antioxidant/ct [Clinical Trial]; *antioxidant/pd [Pharmacology]; *antioxidant/po [Oral Drug Administration]; *cerebrovascular accident; *vitamin B complex/cb [Drug Combination]; *vitamin B complex/cm [Drug Comparison]; *vitamin B complex/ct [Clinical Trial]; *vitamin B complex/pd [Pharmacology]; *vitamin B complex/po [Oral Drug Administration]; Adult; Aged; Aged, 80 and over; Alpha tocopherol/cb [Drug Combination]; Alpha tocopherol/cm [Drug Comparison]; Alpha tocopherol/ct [Clinical Trial]; Alpha tocopherol/ec [Endogenous Compound]; Alpha tocopherol/pd [Pharmacology]; Alpha tocopherol/po [Oral Drug Administration]; Antiinflammatory activity; Antioxidant activity; Antioxidants [*administration & dosage]; Anti‐Inflammatory Agents; Article; Ascorbic Acid [administration & dosage, blood]; Ascorbic acid/cb [Drug Combination]; Ascorbic acid/cm [Drug Comparison]; Ascorbic acid/ct [Clinical Trial]; Ascorbic acid/ec [Endogenous Compound]; Ascorbic acid/pd [Pharmacology]; Ascorbic acid/po [Oral Drug Administration]; Biochemical marker/ec [Endogenous Compound]; C reactive protein/ec [Endogenous Compound]; Clinical trial; Controlled clinical trial; Controlled study; Cyanocobalamin/cb [Drug Combination]; Cyanocobalamin/cm [Drug Comparison]; Cyanocobalamin/ct [Clinical Trial]; Cyanocobalamin/pd [Pharmacology]; Cyanocobalamin/po [Oral Drug Administration]; C‐Reactive Protein [analysis]; Dietary Supplements; Enzyme activation; Erythrocyte level; Female; Folic Acid [administration & dosage, blood]; Folic acid/cb [Drug Combination]; Folic acid/cm [Drug Comparison]; Folic acid/ct [Clinical Trial]; Folic acid/ec [Endogenous Compound]; Folic acid/pd [Pharmacology]; Folic acid/po [Oral Drug Administration]; Glutathione reductase/ec [Endogenous Compound]; Homocysteine [blood]; Homocysteine/ec [Endogenous Compound]; Human; Humans; Inflammation; Major clinical study; Male; Malonaldehyde/ec [Endogenous Compound]; Malondialdehyde [blood]; Oxidative Stress; Oxidative stress; Priority journal; Pyridoxal 5 phosphate/ec [Endogenous Compound]; Pyridoxine/cb [Drug Combination]; Pyridoxine/cm [Drug Comparison]; Pyridoxine/ct [Clinical Trial]; Pyridoxine/pd [Pharmacology]; Pyridoxine/po [Oral Drug Administration]; Randomized controlled trial; Riboflavin [administration & dosage, blood]; Riboflavin/cb [Drug Combination]; Riboflavin/cm [Drug Comparison]; Riboflavin/ct [Clinical Trial]; Riboflavin/pd [Pharmacology]; Riboflavin/po [Oral Drug Administration]; Stroke [*therapy]; Vitamin B 12 [administration & dosage, blood]; Vitamin B 6 [administration & dosage, blood]; Vitamin B Complex [*administration & dosage]; Vitamin E [administration & dosage, blood]; Vitamin blood level","10.1177/0148607106030002108","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00563089/full","Complementary Medicine; Stroke"
"CN-00617709","Gariballa, S; Ullegaddi, R","Riboflavin status in acute ischaemic stroke","European journal of clinical nutrition","2007","BACKGROUND: There is experimental evidence that riboflavin (vitamin B2) supplementation reduces oxidative damage and cerebral oedema following acute stroke. OBJECTIVE: To measure riboflavin levels in acute stroke before and after supplementation with this vitamin. DESIGN: Ninety‐six acute ischaemic stroke patients had their riboflavin status measured at baseline and then randomly assigned to receive 5 mg of oral riboflavin and other B‐group vitamins within 12 h of the stroke onset and then daily or no B‐vitamins for 14 days. Non‐fasting venous blood was obtained at baseline, days 7 and 14 post‐randomization for measurement of riboflavin status using erythrocyte glutathione reductase activity coefficient (EGRAC). EGRAC is a measure of riboflavin tissue saturation. This assay has the advantage of being extremely stable and sensitive. EGRAC values are inversely proportional to riboflavin status, so that values greater than 1.3 indicate biochemical deficiency. RESULTS: Fifty‐one per cent of patients studied were riboflavin deficient at baseline. Fourteen days of riboflavin supplementation significantly improved the measure of B2 status compared with the control group. Seven out of 37 patients in the supplement group (19%) were riboflavin deficient compared with 22 out of 39 patients (56%) in the control group at the end of the treatment period (P=0.035 for the differences in cumulative changes between groups over 2 weeks). CONCLUSIONS: A high proportion of acute stroke patients were biochemically deficient of riboflavin immediately post‐infarct. Supplementation with 5 mg of riboflavin for 2 weeks significantly improved riboflavin status; however, the clinical significance of these findings is not yet known.","61","10","1237‐1240","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17299470",,,,,"Journal article","Acute Disease; Aged; Aged, 80 and over; Analysis of Variance; Dietary Supplements; Erythrocytes [enzymology]; Female; Glutathione Reductase [metabolism]; Humans; Male; Nutritional Status; Oxidative Stress [*drug effects]; Prevalence; Riboflavin Deficiency [*drug therapy, epidemiology]; Riboflavin [*blood, *therapeutic use]; Stroke [*blood]; Vitamin B Complex [blood, therapeutic use]","10.1038/sj.ejcn.1602666","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00617709/full","Stroke"
"CN-00551912","Ullegaddi, R; Powers, HJ; Gariballa, SE","Antioxidant supplementation enhances antioxidant capacity and mitigates oxidative damage following acute ischaemic stroke","European journal of clinical nutrition","2005","OBJECTIVE: To test whether supplementary antioxidants immediately following acute ischaemic stroke will enhance antioxidant capacity and mitigate oxidative damage. DESIGN: A randomised controlled trial. SETTING: A university teaching hospital. SUBJECTS: A total of 48 acute ischaemic stroke patients within 12 h of symptom onset. INTERVENTION: Daily oral 800 IU (727 mg) of alpha‐tocopherol and 500 mg of vitamin C (n = 24), or no treatment (n = 24) for 14 days. Treatment group and controls were matched for stroke subtype and age. MAIN OUTCOME MEASURES: alpha‐Tocopherol, ascorbic acid, total antioxidant capacity (TAOC), plasma malondialdehyde (MDA) and C‐reactive protein (CRP) before treatment, at day 7 and day 14 following recruitment. RESULTS: In all, 14 days of vitamin supplementation significantly improved plasma alpha‐tocopherol and ascorbic concentrations in the treatment group compared with the decrease seen in the control group (P < 0.005 for difference in cumulative changes). TAOC increased significantly in the treatment group compared with controls (P < 0.003). There was a significant reduction in plasma MDA concentration in the treatment group, in contrast to the increase seen in the control group (P < 0.002). After adjusting for clinical complications CRP concentrations within 90 days postinfarct were significantly lower in the treatment group compared with controls. CONCLUSION: Supplementation with antioxidant vitamins within 12 h of onset of acute ischaemic stroke increased antioxidant capacity, reduced lipid peroxidation products and may have an anti‐inflammatory effect. SPONSORSHIP: Sheffield Teaching Hospital NHS Trust.","59","12","1367‐1373","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16091766",,,,,"Journal article","Acute Disease; Aged; Aged, 80 and over; Antioxidants [metabolism, *therapeutic use]; Ascorbic Acid [blood, *therapeutic use]; Brain Ischemia [blood, *drug therapy, metabolism]; C‐Reactive Protein [metabolism]; Dietary Supplements; Female; Humans; Lipid Peroxidation [drug effects]; Male; Malondialdehyde [blood]; Oxidative Stress [*drug effects]; alpha‐Tocopherol [blood, *therapeutic use]","10.1038/sj.ejcn.1602248","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00551912/full","Complementary Medicine; Stroke"
