CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-02345424","ISRCTN92186858,","Can high-dose vitamin D supplementation reduce blood pressure and markers of cardiovascular risk in older people with isolated systolic hypertension? A randomised, double-blind, parallel group placebo controlled trial","http://www.controlled-trials.com/ISRCTN92186858/","2013",,,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"","","ICTRP ISRCTN92186858","Trial registry record",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02345424/full","Bone, Joint and Muscle Trauma"
"CN-00743581","Witham, MD; Crighton, LJ; Gillespie, ND; Struthers, AD; McMurdo, ME","The effects of vitamin D supplementation on physical function and quality of life in older patients with heart failure: a randomized controlled trial","Circulation. Heart failure","2010","BACKGROUND: Low 25‐hydroxyvitamin D levels, commonly found in older patients with heart failure, may contribute to the chronic inflammation and skeletal myopathy that lead to poor exercise tolerance. We tested whether vitamin D supplementation of patients with heart failure and vitamin D insufficiency can improve physical function and quality of life. METHODS AND RESULTS: In a randomized, parallel group, double‐blind, placebo‐controlled trial, patients with systolic heart failure aged >or=70 years with 25‐hydroxyvitamin D levels <50 nmol/L (20 ng/mL) received 100,000 U of oral vitamin D2 or placebo at baseline and 10 weeks. Outcomes measured at baseline, 10 weeks, and 20 weeks were 6‐minute walk distance, quality of life (Minnesota score), daily activity measured by accelerometry, Functional Limitations Profile, B‐type natriuretic peptide, and tumor necrosis factor‐alpha. Participants in the vitamin D group had an increase in their 25‐hydroxyvitamin D levels compared with placebo at 10 weeks (22.9 versus 2.3 nmol/L [9.2 versus 0.9 ng/mL]; P<0.001) and maintained this increase at 20 weeks. The 6‐minute walk did not improve in the treatment group relative to placebo. No significant benefit was seen on timed up and go testing, subjective measures of function, daily activity, or tumor necrosis factor. Quality of life worsened by a small, but significant amount in the treatment group relative to placebo. B‐type natriuretic peptide decreased in the treatment group relative to placebo (‐22 versus +78 pg/mL at 10 weeks; P=0.04). CONCLUSIONS: Vitamin D supplementation did not improve functional capacity or quality of life in older patients with heart failure with vitamin D insufficiency. Clinical Trial Registration‐ www.controlled‐trials.com. Identifier: ISRCTN51372896.","3","2","195‐201","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 20103775",,"","","","Journal article","Activities of Daily Living; Aged; Aged, 80 and over; Biomarkers [blood]; Chi‐Square Distribution; Double‐Blind Method; Female; Heart Failure [complications, *drug therapy, physiopathology]; Humans; Male; Natriuretic Peptide, Brain [metabolism]; Placebos; Quality of Life; Statistics, Nonparametric; Surveys and Questionnaires; Treatment Outcome; Vitamin D Deficiency [*drug therapy, etiology, physiopathology]; Vitamin D [*administration & dosage]; Walking [*physiology]","10.1161/CIRCHEARTFAILURE.109.907899","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00743581/full","Complementary Medicine; Neuromuscular; Heart; Metabolic and Endocrine Disorders"
"CN-01262815",,"Design of the Women's Health Initiative clinical trial and observational study. The Women's Health Initiative Study Group","Controlled clinical trials","1998",,"19","1","61‐109","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01262815/full","Metabolic and Endocrine Disorders; Bone, Joint and Muscle Trauma"
"CN-01954197","McGowan, JA; Jackson, RD; Cauley, JA; LaCroix, AZ","Calcium and vitamin d in the prevention of hip and other fractures: an update on the women's health initiative CAD trial","Journal of bone and mineral research","2002",,"17","Suppl 1","S477","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01954197/full","Bone, Joint and Muscle Trauma"
"CN-00785020","Jackson, RD; Wright, NC; Beck, TJ; Sherrill, D; Cauley, JA; Lewis, CE; LaCroix, AZ; LeBoff, MS; Going, S; Bassford, T; Chen, Z","Calcium plus vitamin D supplementation has limited effects on femoral geometric strength in older postmenopausal women: the Women's Health Initiative","Calcified tissue international","2011","Calcium plus vitamin D (CaD) supplementation has a modest but significant effect on slowing loss of femoral bone mass and reducing risk of hip fractures in adherent postmenopausal women. The goal of this study was to determine if CaD supplementation influences hip structural parameters that are associated with fracture risk. We studied 1,970 postmenopausal women enrolled in the Women's Health Initiative randomized controlled trial of CaD at one of three bone mineral density (BMD) clinical centers. Hip structural analysis software measured BMD and strength parameters on DXA scans at three regions: femoral narrow neck, intertrochanter, and shaft. Random effects models were used to test the average differences in hip BMD and geometry between intervention and placebo. There was greater preservation of hip BMD at the narrow neck with CaD relative to placebo across 6 years of intervention. CaD also altered the underlying cross‐sectional geometry at the narrow neck in the direction of greater strength, with small increases in cross‐sectional area and section modulus and a decrease in buckling ratio with CaD relative to placebo. While trends at both the intertrochanter and shaft regions were similar to those noted at the narrow neck, no significant intervention effects were evident. There was no significant interaction of CaD and age or baseline calcium levels for hip structural properties. CaD supplementation is associated with modest beneficial effects on hip structural features at the narrow neck, which may explain some of the benefit of CaD in reducing hip fracture risk.","88","3","198‐208","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 21253715",,,,,"Journal article","Aged; Body Constitution [drug effects]; Bone Density [drug effects]; Calcium [*administration & dosage, pharmacology]; Compressive Strength [drug effects]; Dietary Supplements; Double‐Blind Method; Drug Combinations; Female; Femur [*anatomy & histology, *drug effects]; Humans; Middle Aged; Osteoporosis, Postmenopausal [physiopathology, *prevention & control]; Placebos; Postmenopause [*drug effects]; Vitamin D [*administration & dosage, pharmacology]; Women's Health","10.1007/s00223-010-9449-x","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00785020/full","Musculoskeletal; Complementary Medicine; Metabolic and Endocrine Disorders; Bone, Joint and Muscle Trauma"
"CN-00555191","Jackson, RD; LaCroix, AZ; Gass, M; Wallace, RB; Robbins, J; Lewis, CE; Bassford, T; Beresford, SA; Black, HR; Blanchette, P; Bonds, DE; Brunner, RL; Brzyski, RG; Caan, B; Cauley, JA; Chlebowski, RT; Cummings, SR; Granek, I; Hays, J; Heiss, G; Hendrix, SL; Howard, BV; Hsia, J; Hubbell, FA; Johnson, KC; Judd, H; Kotchen, JM; Kuller, LH; Langer, RD; Lasser, NL; Limacher, MC; Ludlam, S; Manson, JE; Margolis, KL; McGowan, J; Ockene, JK; O'Sullivan, MJ; Phillips, L; Prentice, RL; Sarto, GE; Stefanick, ML; Van Horn, L; Wactawski-Wende, J; Whitlock, E; Anderson, GL; Assaf, AR; Barad, D","Calcium plus vitamin D supplementation and the risk of fractures","New England journal of medicine","2006","BACKGROUND: The efficacy of calcium with vitamin D supplementation for preventing hip and other fractures in healthy postmenopausal women remains equivocal. METHODS: We recruited 36,282 postmenopausal women, 50 to 79 years of age, who were already enrolled in a Women's Health Initiative (WHI) clinical trial. We randomly assigned participants to receive 1000 mg of elemental [corrected] calcium as calcium carbonate with 400 IU of vitamin D3 daily or placebo. Fractures were ascertained for an average follow‐up period of 7.0 years. Bone density was measured at three WHI centers. RESULTS: Hip bone density was 1.06 percent higher in the calcium plus vitamin D group than in the placebo group (P<0.01). Intention‐to‐treat analysis indicated that participants receiving calcium plus vitamin D supplementation had a hazard ratio of 0.88 for hip fracture (95 percent confidence interval, 0.72 to 1.08), 0.90 for clinical spine fracture (0.74 to 1.10), and 0.96 for total fractures (0.91 to 1.02). The risk of renal calculi increased with calcium plus vitamin D (hazard ratio, 1.17; 95 percent confidence interval, 1.02 to 1.34). Censoring data from women when they ceased to adhere to the study medication reduced the hazard ratio for hip fracture to 0.71 (95 percent confidence interval, 0.52 to 0.97). Effects did not vary significantly according to prerandomization serum vitamin D levels. CONCLUSIONS: Among healthy postmenopausal women, calcium with vitamin D supplementation resulted in a small but significant improvement in hip bone density, did not significantly reduce hip fracture, and increased the risk of kidney stones. (ClinicalTrials.gov number, NCT00000611.).","354","7","669‐683","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16481635","EMBASE 43247138","","","","Journal article","Aged; Bone Density [drug effects]; Calcium Carbonate [adverse effects, pharmacology, *therapeutic use]; Calcium [therapeutic use]; Double‐Blind Method; Drug Combinations; Drug Interactions; Estrogen Replacement Therapy; Female; Follow‐Up Studies; Fractures, Bone [epidemiology, *prevention & control]; Hip Fractures [prevention & control]; Humans; Kidney Calculi [chemically induced]; Middle Aged; Patient Compliance; Postmenopause; Proportional Hazards Models; Risk; Spinal Fractures [prevention & control]; Vitamin D [adverse effects, blood, pharmacology, *therapeutic use]","10.1056/NEJMoa055218","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00555191/full","Musculoskeletal; Bone, Joint and Muscle Trauma; Metabolic and Endocrine Disorders"
"CN-01370811","Jackson, RD; LaCroix, AZ; Cauley, JA; McGowan, J","The Women's Health Initiative Calcium-Vitamin D Trial: overview and baseline characteristics of participants","Annals of epidemiology","2003",,"13","9 Suppl","S98‐106","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01370811/full","Metabolic and Endocrine Disorders; Bone, Joint and Muscle Trauma"
"CN-01954242","Chen, Z; Beck, TJ; Wright, NC; LaCroix, AZ; Cauley, JA; Lewis, CE; Bassford, TL; Leboff, MS","The effect of calcium plus vitamin d supplement on hip geometric structures: results from the women's health initiative CAD trial","Journal of bone and mineral research","2007",,"22","Suppl 1","S59","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01954242/full","Bone, Joint and Muscle Trauma"
"CN-01982972","Cauley, JA; LaCroix, A; Wu, L; Lee, J; Horowitz, M; Bauer, D","Serum 25 hydroxy vitamin d 25(OH) and the risk of hip fracture: the women's health initiative (WHI)","Journal of bone and mineral research","2007",,"22","Suppl 1","S57","Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01982972/full","Bone, Joint and Muscle Trauma"
"CN-02364924","Cauley, J; Wactawski-Wende, J; Robbins, J; Rodabough, R; Chen, Z; Johnson, K; OSullivan, MJ; Manson, JA","The Women's Health Initiative (WHI) calcium and vitamin D supplementation trial: health outcomes 5 years after trial completion","ASBMR annual meeting","2012",,,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,,,,"Journal article",,,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02364924/full","Bone, Joint and Muscle Trauma"
